map,seed,method,condition,loop_id,vertex,event_seq,current_scan,current_scan_time,chain_start,chain_end,active_start,active_end,intended_history_ids_or_region,attribution_class,evidence,run_dir
map3,21002,Original,A,1,8,1,280,515.0,15,19,500.1,533.1,"[0, 1, 2, 3, 4, 5, 6]",TEMPORALLY_ASSOCIATED,"{""callback_stamp"": 515.0, ""closest_pose"": 0, ""current_scan_time_source"": ""rosout PHASE2C_KEYSCAN_ACCEPTED"", ""execution_policy"": ""ORIGINAL"", ""intended_history_reconstruction"": ""frozen reliable-loop code replay"", ""matched_intended_ids"": [], ""measurement_interval_matches"": 1, ""path_reconstruction_error_m"": 5.765168994287213e-10, ""path_reconstruction_pass"": true}",results/phase4b/map3/seed_21002/A_original
map3,21003,Selective,C,4,21,1,760,1413.4,506,511,1346.3,1414.9,"[505, 506, 507, 508, 509, 510, 511]",TARGET_ATTRIBUTABLE,"{""callback_stamp"": 1413.4, ""closest_pose"": 505, ""current_scan_time_source"": ""rosout PHASE2C_KEYSCAN_ACCEPTED"", ""execution_policy"": ""NO_REPAIR"", ""intended_history_reconstruction"": ""frozen reliable-loop code replay"", ""matched_intended_ids"": [506, 507, 508, 509, 510, 511], ""measurement_interval_matches"": 1, ""path_reconstruction_error_m"": 4.040768788442861e-08, ""path_reconstruction_pass"": true}",results/phase4b/map3/seed_21003/C_selective
map3,21004,Always-Trace,B,1,15,1,273,477.1,161,164,451.0,551.1,"[163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179]",TARGET_ATTRIBUTABLE,"{""callback_stamp"": 477.1, ""closest_pose"": 171, ""current_scan_time_source"": ""rosout PHASE2C_KEYSCAN_ACCEPTED"", ""execution_policy"": ""ALWAYS_TRACE"", ""intended_history_reconstruction"": ""frozen reliable-loop code replay"", ""matched_intended_ids"": [163, 164], ""measurement_interval_matches"": 1, ""path_reconstruction_error_m"": 2.1008375476070886e-06, ""path_reconstruction_pass"": true}",results/phase4b/map3/seed_21004/B_always_trace
map3,21004,Always-Trace,B,4,22,2,937,1565.4,548,551,1536.6,1665.7,"[546, 547, 548, 549, 550, 551, 552, 553, 554, 555, 556, 557, 558, 559, 560, 561, 562]",TARGET_ATTRIBUTABLE,"{""callback_stamp"": 1565.4, ""closest_pose"": 554, ""current_scan_time_source"": ""rosout PHASE2C_KEYSCAN_ACCEPTED"", ""execution_policy"": ""ALWAYS_TRACE"", ""intended_history_reconstruction"": ""frozen reliable-loop code replay"", ""matched_intended_ids"": [548, 549, 550, 551], ""measurement_interval_matches"": 1, ""path_reconstruction_error_m"": 1.9514914362243394e-06, ""path_reconstruction_pass"": true}",results/phase4b/map3/seed_21004/B_always_trace
map3,21004,Selective,C,,,1,482,866.5,349,352,,,,PASSIVE_OR_UNRELATED,"{""callback_stamp"": 866.5, ""current_scan_time_source"": ""rosout PHASE2C_KEYSCAN_ACCEPTED"", ""measurement_interval_matches"": 0}",results/phase4b/map3/seed_21004/C_selective
map3,21005,Selective,C,2,26,1,490,971.8,413,418,948.4,972.5,"[399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 412]",TEMPORALLY_ASSOCIATED,"{""callback_stamp"": 971.8, ""closest_pose"": 406, ""current_scan_time_source"": ""rosout PHASE2C_KEYSCAN_ACCEPTED"", ""execution_policy"": ""SELECTIVE_REPAIR"", ""intended_history_reconstruction"": ""frozen reliable-loop code replay"", ""matched_intended_ids"": [], ""measurement_interval_matches"": 1, ""path_reconstruction_error_m"": 2.1518109737252417e-06, ""path_reconstruction_pass"": true}",results/phase4b/map3/seed_21005/C_selective
map3,21005,Selective,C,5,8,2,728,1475.5,15,18,1464.8,1476.5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",TARGET_ATTRIBUTABLE,"{""callback_stamp"": 1475.5, ""closest_pose"": 0, ""current_scan_time_source"": ""rosout PHASE2C_KEYSCAN_ACCEPTED"", ""execution_policy"": ""SELECTIVE_REPAIR"", ""intended_history_reconstruction"": ""frozen reliable-loop code replay"", ""matched_intended_ids"": [15, 16, 17, 18], ""measurement_interval_matches"": 1, ""path_reconstruction_error_m"": 2.695304822162673e-07, ""path_reconstruction_pass"": true}",results/phase4b/map3/seed_21005/C_selective
