seed,contrast,metric,left_value,right_value,difference
21001,C-A,acceptance_rate,0.0,0.0,0.0
21001,C-A,active_loop_distance_m,101.20340042595505,66.77195318445612,34.43144724149893
21001,C-A,active_loop_time_s,326.9000000000001,224.90000000000032,101.99999999999977
21001,C-A,ape_rmse_m,0.604666,1.931035,-1.3263690000000001
21001,C-A,rpe_translation_rmse_m,0.052307,0.033705,0.018602
21001,C-A,rpe_rotation_rmse_deg,0.243688,0.208282,0.03540599999999999
21001,C-A,occupied_iou,0.07327045197529483,0.06127131782945736,0.011999134145837469
21001,C-A,boundary_f1,0.5237270070678571,0.391957362057004,0.13176964501085314
21001,B-A,acceptance_rate,0.0,0.0,0.0
21001,B-A,active_loop_distance_m,145.6834775554711,66.77195318445612,78.91152437101496
21001,B-A,active_loop_time_s,450.4000000000002,224.90000000000032,225.4999999999999
21001,B-A,ape_rmse_m,0.560084,1.931035,-1.370951
21001,B-A,rpe_translation_rmse_m,0.062831,0.033705,0.029126
21001,B-A,rpe_rotation_rmse_deg,0.308477,0.208282,0.100195
21001,B-A,occupied_iou,0.07734498811410459,0.06127131782945736,0.016073670284647228
21001,B-A,boundary_f1,0.4361416862266569,0.391957362057004,0.0441843241696529
21001,C-B,acceptance_rate,0.0,0.0,0.0
21001,C-B,active_loop_distance_m,101.20340042595505,145.6834775554711,-44.48007712951603
21001,C-B,active_loop_time_s,326.9000000000001,450.4000000000002,-123.50000000000011
21001,C-B,ape_rmse_m,0.604666,0.560084,0.04458200000000001
21001,C-B,rpe_translation_rmse_m,0.052307,0.062831,-0.010523999999999999
21001,C-B,rpe_rotation_rmse_deg,0.243688,0.308477,-0.06478900000000001
21001,C-B,occupied_iou,0.07327045197529483,0.07734498811410459,-0.004074536138809759
21001,C-B,boundary_f1,0.5237270070678571,0.4361416862266569,0.08758532084120024
21002,C-A,acceptance_rate,0.0,0.3333333333333333,-0.3333333333333333
21002,C-A,active_loop_distance_m,66.86503965675882,57.999168481480226,8.865871175278599
21002,C-A,active_loop_time_s,239.49999999999994,167.0,72.49999999999994
21002,C-A,ape_rmse_m,1.15693,0.2401,0.91683
21002,C-A,rpe_translation_rmse_m,0.044769,0.034865,0.009904000000000003
21002,C-A,rpe_rotation_rmse_deg,0.211664,0.209592,0.0020719999999999905
21002,C-A,occupied_iou,0.055986987733737725,0.07782874426627004,-0.021841756532532314
21002,C-A,boundary_f1,0.32782043482885925,0.5585871364291201,-0.2307667016002608
21002,B-A,acceptance_rate,0.0,0.3333333333333333,-0.3333333333333333
21002,B-A,active_loop_distance_m,112.53003632893194,57.999168481480226,54.53086784745172
21002,B-A,active_loop_time_s,347.49999999999994,167.0,180.49999999999994
21002,B-A,ape_rmse_m,0.508673,0.2401,0.26857300000000006
21002,B-A,rpe_translation_rmse_m,0.074704,0.034865,0.039839000000000006
21002,B-A,rpe_rotation_rmse_deg,0.36275,0.209592,0.15315800000000002
21002,B-A,occupied_iou,0.08309247650863956,0.07782874426627004,0.00526373224236952
21002,B-A,boundary_f1,0.4522551282746637,0.5585871364291201,-0.10633200815445637
21002,C-B,acceptance_rate,0.0,0.0,0.0
21002,C-B,active_loop_distance_m,66.86503965675882,112.53003632893194,-45.66499667217312
21002,C-B,active_loop_time_s,239.49999999999994,347.49999999999994,-108.0
21002,C-B,ape_rmse_m,1.15693,0.508673,0.648257
21002,C-B,rpe_translation_rmse_m,0.044769,0.074704,-0.029935000000000003
21002,C-B,rpe_rotation_rmse_deg,0.211664,0.36275,-0.15108600000000003
21002,C-B,occupied_iou,0.055986987733737725,0.08309247650863956,-0.027105488774901834
21002,C-B,boundary_f1,0.32782043482885925,0.4522551282746637,-0.12443469344580443
21003,C-A,acceptance_rate,0.25,0.0,0.25
21003,C-A,active_loop_distance_m,111.16884556379901,97.33768317459293,13.831162389206085
21003,C-A,active_loop_time_s,356.9,310.9999999999999,45.90000000000009
21003,C-A,ape_rmse_m,0.506671,0.622606,-0.11593500000000001
21003,C-A,rpe_translation_rmse_m,0.043322,0.052417,-0.009094999999999999
21003,C-A,rpe_rotation_rmse_deg,0.263487,0.337893,-0.07440599999999997
21003,C-A,occupied_iou,0.07089723119577192,0.08329784835808932,-0.012400617162317398
21003,C-A,boundary_f1,0.48550994461069896,0.4622214850226168,0.023288459588082178
21003,B-A,acceptance_rate,0.0,0.0,0.0
21003,B-A,active_loop_distance_m,143.23976177465525,97.33768317459293,45.902078600062325
21003,B-A,active_loop_time_s,487.2999999999999,310.9999999999999,176.3
21003,B-A,ape_rmse_m,1.043301,0.622606,0.42069500000000004
21003,B-A,rpe_translation_rmse_m,0.079285,0.052417,0.026867999999999996
21003,B-A,rpe_rotation_rmse_deg,0.502674,0.337893,0.16478099999999996
21003,B-A,occupied_iou,0.0723437636189314,0.08329784835808932,-0.010954084739157918
21003,B-A,boundary_f1,0.5234996555466301,0.4622214850226168,0.06127817052401335
21003,C-B,acceptance_rate,0.25,0.0,0.25
