wall_time_utc,stage,elapsed_wall_s,launch_alive,driver_alive,rss_kb,missing_core_nodes
2026-08-21T08:22:25.573925+00:00,mapping,0.0,1,1,1351696,
2026-08-21T08:22:38.764881+00:00,history_exploration,0.0,1,1,1359680,
2026-08-21T08:23:09.078066+00:00,history_exploration,30.3,1,1,1366324,
2026-08-21T08:23:39.386548+00:00,history_exploration,60.6,1,1,1370400,
2026-08-21T08:24:09.755039+00:00,history_exploration,90.9,1,1,1376452,
2026-08-21T08:24:39.056932+00:00,history_exploration,120.3,1,1,1380764,
2026-08-21T08:25:09.357980+00:00,history_exploration,150.6,1,1,1388316,
2026-08-21T08:25:39.653052+00:00,history_exploration,180.9,1,1,1391308,
2026-08-21T08:26:08.996244+00:00,history_exploration,210.2,1,1,1395680,
2026-08-21T08:26:39.322701+00:00,history_exploration,240.5,1,1,1397996,
2026-08-21T08:27:09.670649+00:00,history_exploration,270.9,1,1,1406704,
2026-08-21T08:27:38.990409+00:00,history_exploration,300.2,1,1,1405676,
2026-08-21T08:28:09.285889+00:00,history_exploration,330.5,1,1,1407792,
2026-08-21T08:28:39.583808+00:00,history_exploration,360.8,1,1,1410584,
2026-08-21T08:29:08.897535+00:00,history_exploration,390.1,1,1,1417372,
2026-08-21T08:29:39.237137+00:00,history_exploration,420.4,1,1,1420160,
2026-08-21T08:30:09.578235+00:00,history_exploration,450.8,1,1,1420208,
2026-08-21T08:30:38.875934+00:00,history_exploration,480.1,1,1,1429508,
2026-08-21T08:31:09.177300+00:00,history_exploration,510.4,1,1,1438620,
2026-08-21T08:31:39.516393+00:00,history_exploration,540.7,1,1,1440804,
2026-08-21T08:32:08.866550+00:00,history_exploration,570.1,1,1,1444216,
2026-08-21T08:32:39.158259+00:00,history_exploration,600.4,1,1,1446712,
2026-08-21T08:33:09.467928+00:00,history_exploration,630.7,1,1,1453600,
2026-08-21T08:33:38.775505+00:00,history_exploration,660.0,1,1,1454220,
2026-08-21T08:34:09.066729+00:00,history_exploration,690.3,1,1,1457336,
2026-08-21T08:34:39.383630+00:00,history_exploration,720.6,1,1,1459108,
2026-08-21T08:35:09.700079+00:00,history_exploration,750.9,1,1,1462984,
2026-08-21T08:35:38.999920+00:00,history_exploration,780.2,1,1,1464620,
2026-08-21T08:36:09.350626+00:00,history_exploration,810.5,1,1,1466580,
2026-08-21T08:36:39.654304+00:00,history_exploration,840.9,1,1,1467596,
2026-08-21T08:37:08.965935+00:00,history_exploration,870.2,1,1,1468520,
2026-08-21T08:37:39.318551+00:00,positive_revisit,0.0,1,1,1472388,
2026-08-21T08:38:09.610443+00:00,positive_revisit,30.3,1,1,1481084,
2026-08-21T08:38:39.916500+00:00,positive_revisit,60.6,1,1,1483964,
2026-08-21T08:39:10.245927+00:00,positive_revisit,90.9,1,1,1485868,
2026-08-21T08:39:39.550409+00:00,positive_revisit,120.3,1,1,1488908,
