wall_time_utc,stage,elapsed_wall_s,launch_alive,observer_alive,rss_kb,missing_core_nodes
2026-08-31T09:47:09.623428+00:00,mapping,0.0,1,1,1503080,
2026-08-31T09:47:22.839304+00:00,exploration,0.0,1,1,1509700,
2026-08-31T09:47:53.189729+00:00,exploration,30.3,1,1,1527632,
2026-08-31T09:48:23.531853+00:00,exploration,60.7,1,1,1538136,
2026-08-31T09:48:52.837086+00:00,exploration,90.0,1,1,1543288,
2026-08-31T09:49:23.128199+00:00,exploration,120.3,1,1,1544832,
2026-08-31T09:49:53.438118+00:00,exploration,150.6,1,1,1548240,
2026-08-31T09:50:23.742238+00:00,exploration,180.9,1,1,1552552,
2026-08-31T09:50:53.049757+00:00,exploration,210.2,1,1,1555404,
2026-08-31T09:51:23.340540+00:00,exploration,240.5,1,1,1560804,
2026-08-31T09:51:53.653116+00:00,exploration,270.8,1,1,1573564,
2026-08-31T09:52:22.950026+00:00,exploration,300.1,1,1,1581228,
2026-08-31T09:52:53.280168+00:00,exploration,330.4,1,1,1582344,
2026-08-31T09:53:23.606610+00:00,exploration,360.8,1,1,1586168,
2026-08-31T09:53:52.931432+00:00,exploration,390.1,1,1,1593192,
2026-08-31T09:54:23.224435+00:00,exploration,420.4,1,1,1596008,
2026-08-31T09:54:53.544793+00:00,exploration,450.7,1,1,1600952,
2026-08-31T09:55:22.854290+00:00,exploration,480.0,1,1,1605736,
2026-08-31T09:55:53.147431+00:00,exploration,510.3,1,1,1608224,
2026-08-31T09:56:23.445335+00:00,exploration,540.6,1,1,1610972,
2026-08-31T09:56:53.769977+00:00,exploration,570.9,1,1,1615932,
2026-08-31T09:57:23.107293+00:00,exploration,600.3,1,1,1620568,
2026-08-31T09:57:53.460577+00:00,exploration,630.6,1,1,1621256,
2026-08-31T09:58:23.758792+00:00,exploration,661.0,1,1,1623548,
2026-08-31T09:58:53.076066+00:00,exploration,690.3,1,1,1631336,
2026-08-31T09:59:23.390052+00:00,exploration,720.6,1,1,1633644,
2026-08-31T09:59:53.735425+00:00,exploration,750.9,1,1,1638648,
