map,seed,condition,method,occupied_boundary_f1,symmetric_boundary_distance_mean_m,symmetric_boundary_distance_median_m,symmetric_boundary_distance_p95_m,occupied_iou_secondary,observed_coverage_global,detail
map3,21001,A,Original,0.391957362057004,0.7622317676106767,0.35000000000000003,2.8,0.06127131782945736,0.8994526570640288,results/phase4c0/map_evaluation/phase4b_map3/seed_21001/A_original/mapping_metrics_v2.json
map3,21001,B,Always-Trace,0.4361416862266569,0.4969520226149495,0.28027756377319946,1.5500000000000003,0.07734498811410459,0.8868106691026026,results/phase4c0/map_evaluation/phase4b_map3/seed_21001/B_always_trace/mapping_metrics_v2.json
map3,21001,C,Selective,0.5237270070678571,0.47632899927642014,0.25,1.4307764064044153,0.07327045197529483,0.8828838363021303,results/phase4c0/map_evaluation/phase4b_map3/seed_21001/C_selective/mapping_metrics_v2.json
map3,21002,A,Original,0.5585871364291201,0.38562071087325794,0.2118033988749895,1.2,0.07782874426627004,0.8752251198473084,results/phase4c0/map_evaluation/phase4b_map3/seed_21002/A_original/mapping_metrics_v2.json
map3,21002,B,Always-Trace,0.4522551282746637,0.45887606614870136,0.28027756377319946,1.3737756131336967,0.08309247650863956,0.8894935406849585,results/phase4c0/map_evaluation/phase4b_map3/seed_21002/B_always_trace/mapping_metrics_v2.json
map3,21002,C,Selective,0.32782043482885925,0.6803233504839454,0.4328427124746191,2.0103718436910203,0.055986987733737725,0.8852566459092243,results/phase4c0/map_evaluation/phase4b_map3/seed_21002/C_selective/mapping_metrics_v2.json
map3,21003,A,Original,0.4622214850226168,0.4445643063876865,0.258113883008419,1.3433981132056605,0.08329784835808932,0.88993542541617,results/phase4c0/map_evaluation/phase4b_map3/seed_21003/A_original/mapping_metrics_v2.json
map3,21003,B,Always-Trace,0.5234996555466301,0.5283644826327049,0.25,1.85,0.0723437636189314,0.886738259419757,results/phase4c0/map_evaluation/phase4b_map3/seed_21003/B_always_trace/mapping_metrics_v2.json
map3,21003,C,Selective,0.48550994461069896,0.4392681235502786,0.25,1.35,0.07089723119577192,0.8883851155398605,results/phase4c0/map_evaluation/phase4b_map3/seed_21003/C_selective/mapping_metrics_v2.json
map3,21004,A,Original,0.3242843198320291,0.8525366573718709,0.6000000000000001,2.5936263672131936,0.04997309987283576,0.8986672905039342,results/phase4c0/map_evaluation/phase4b_map3/seed_21004/A_original/mapping_metrics_v2.json
map3,21004,B,Always-Trace,0.5265400200548099,0.45334169375708416,0.25,1.4,0.09171862207947604,0.89075606848842,results/phase4c0/map_evaluation/phase4b_map3/seed_21004/B_always_trace/mapping_metrics_v2.json
map3,21004,C,Selective,0.5455183656132634,0.4178422105916319,0.2118033988749895,1.3,0.07584459037678844,0.8841166575690398,results/phase4c0/map_evaluation/phase4b_map3/seed_21004/C_selective/mapping_metrics_v2.json
map3,21005,A,Original,0.3158841371973536,0.6023020541700921,0.45,1.720087712549569,0.05988545967478297,0.8799763090370998,results/phase4c0/map_evaluation/phase4b_map3/seed_21005/A_original/mapping_metrics_v2.json
map3,21005,B,Always-Trace,0.5841958433903082,0.44784819836779094,0.2,1.45,0.07766435685368701,0.8969164615058987,results/phase4c0/map_evaluation/phase4b_map3/seed_21005/B_always_trace/mapping_metrics_v2.json
map3,21005,C,Selective,0.3651249199189656,0.585727790290711,0.4,1.7300423721205946,0.06155546006997729,0.8849001674705999,results/phase4c0/map_evaluation/phase4b_map3/seed_21005/C_selective/mapping_metrics_v2.json
