map,seed,condition,method,loop_id,vertex,target_x,target_y,radius_m,local_boundary_f1,local_boundary_status,local_boundary_precision,local_boundary_recall,local_symmetric_boundary_distance_mean_m,local_symmetric_boundary_distance_median_m,local_symmetric_boundary_distance_p95_m,local_distance_status,local_observed_coverage,local_domain_cells,local_gt_boundary_cells
map3,21003,C,Selective,1,15,21.833333333333336,58.0625,5.0,0.0,NO_ESTIMATED_BOUNDARY,0.0,0.0,,,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0,7827,7
map3,21003,C,Selective,2,37,34.166666666666664,33.65277777777778,5.0,,NOT_APPLICABLE_NO_GT_BOUNDARY,,,,,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0,7847,0
map3,21003,C,Selective,3,8,-2.833333333333332,-2.319444444444443,5.0,0.09708737864077671,AVAILABLE,0.09433962264150944,0.1,0.3494875105533627,0.30000000000000004,0.55,AVAILABLE,0.9857124469043635,7769,80
map3,21003,C,Selective,4,21,34.166666666666664,8.98611111111111,5.0,,NOT_APPLICABLE_NO_GT_BOUNDARY,,,,,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0,7856,0
map3,21004,A,Original,1,15,21.833333333333336,58.0625,5.0,0.0,AVAILABLE,0.0,0.0,0.9,0.9,0.99,AVAILABLE,1.0,7827,7
map3,21004,A,Original,2,26,46.5,21.319444444444443,5.0,0.0,ESTIMATED_BOUNDARY_WITHOUT_GT,0.0,0.0,,,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0,7856,0
map3,21004,A,Original,3,35,21.833333333333336,33.65277777777778,5.0,,NOT_APPLICABLE_NO_GT_BOUNDARY,,,,,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0,7847,0
map3,21004,A,Original,4,22,34.166666666666664,-2.319444444444443,5.0,0.0,AVAILABLE,0.0,0.0,1.27768248591384,1.2000000000000002,1.9500000000000002,AVAILABLE,0.9335548172757475,7826,26
map3,21004,A,Original,5,8,-2.833333333333332,-2.319444444444443,5.0,0.5134493670886076,AVAILABLE,0.4097222222222222,0.6875,0.846705591387859,0.7250000000000001,2.628324187458337,AVAILABLE,0.9670485261938473,7769,80
map3,21004,B,Always-Trace,1,15,21.833333333333336,58.0625,5.0,1.0,AVAILABLE,1.0,1.0,0.0071428571428571435,0.0,0.03499999999999997,AVAILABLE,0.9998722371278906,7827,7
map3,21004,B,Always-Trace,2,26,46.5,21.319444444444443,5.0,,NOT_APPLICABLE_NO_GT_BOUNDARY,,,,,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0,7856,0
map3,21004,B,Always-Trace,3,35,21.833333333333336,33.65277777777778,5.0,,NOT_APPLICABLE_NO_GT_BOUNDARY,,,,,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0,7847,0
map3,21004,B,Always-Trace,4,22,34.166666666666664,-2.319444444444443,5.0,0.0,NO_ESTIMATED_BOUNDARY,0.0,0.0,,,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0,7826,26
map3,21004,B,Always-Trace,5,8,-2.833333333333332,-2.319444444444443,5.0,0.620459599703484,AVAILABLE,0.5740740740740741,0.675,0.27384886716489787,0.05,0.75,AVAILABLE,0.9720684772815034,7769,80
map3,21004,C,Selective,1,15,21.833333333333336,58.0625,5.0,0.0,NO_ESTIMATED_BOUNDARY,0.0,0.0,,,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0,7827,7
map3,21004,C,Selective,2,26,46.5,21.319444444444443,5.0,,NOT_APPLICABLE_NO_GT_BOUNDARY,,,,,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0,7856,0
map3,21004,C,Selective,3,35,21.833333333333336,33.65277777777778,5.0,,NOT_APPLICABLE_NO_GT_BOUNDARY,,,,,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0,7847,0
map3,21004,C,Selective,4,22,34.166666666666664,-2.319444444444443,5.0,0.0,NO_ESTIMATED_BOUNDARY,0.0,0.0,,,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0,7826,26
map3,21004,C,Selective,5,8,-2.833333333333332,-2.319444444444443,5.0,0.8059701492537313,AVAILABLE,1.0,0.675,0.24006404740299553,0.15000000000000002,0.5,AVAILABLE,0.9770884283691594,7769,80
