seed,loop_id,vertex,subclass,A_span_plus_yaw,B_history_support,C_span_only,D_yaw_only
21001,1,15,D1,REPAIR,NO_REPAIR,NO_REPAIR,REPAIR
21001,2,11,C3,REPAIR,REPAIR,REPAIR,REPAIR
21001,3,8,C3,REPAIR,REPAIR,REPAIR,REPAIR
21001,4,26,S,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR
21002,1,8,C3,REPAIR,REPAIR,REPAIR,REPAIR
21002,2,38,C3,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR
21002,3,16,C3,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR
21003,1,15,D1,REPAIR,REPAIR,REPAIR,REPAIR
21003,2,37,C3,REPAIR,REPAIR,REPAIR,NO_REPAIR
21003,3,8,C3,REPAIR,REPAIR,REPAIR,REPAIR
21003,4,21,D1,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR
21004,1,15,D1,REPAIR,NO_REPAIR,NO_REPAIR,REPAIR
21004,2,26,C3,REPAIR,NO_REPAIR,REPAIR,REPAIR
21004,3,35,C3,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR
21004,4,22,D1,REPAIR,NO_REPAIR,NO_REPAIR,REPAIR
21004,5,8,C3,REPAIR,REPAIR,REPAIR,REPAIR
21005,1,15,D1,REPAIR,NO_REPAIR,NO_REPAIR,REPAIR
21005,2,26,C3,REPAIR,REPAIR,REPAIR,REPAIR
21005,3,35,D1,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR
21005,4,22,D1,REPAIR,NO_REPAIR,NO_REPAIR,REPAIR
21005,5,8,C3,REPAIR,REPAIR,REPAIR,REPAIR
