seed,loop_id,vertex,subclass,"span<3.0,yaw>0.50","span<3.0,yaw>0.60","span<3.0,yaw>0.78","span<3.0,yaw>0.90","span<3.0,yaw>1.00","span<3.0,yaw>1.20","span<3.5,yaw>0.50","span<3.5,yaw>0.60","span<3.5,yaw>0.78","span<3.5,yaw>0.90","span<3.5,yaw>1.00","span<3.5,yaw>1.20","span<4.0,yaw>0.50","span<4.0,yaw>0.60","span<4.0,yaw>0.78","span<4.0,yaw>0.90","span<4.0,yaw>1.00","span<4.0,yaw>1.20","span<4.5,yaw>0.50","span<4.5,yaw>0.60","span<4.5,yaw>0.78","span<4.5,yaw>0.90","span<4.5,yaw>1.00","span<4.5,yaw>1.20","span<5.0,yaw>0.50","span<5.0,yaw>0.60","span<5.0,yaw>0.78","span<5.0,yaw>0.90","span<5.0,yaw>1.00","span<5.0,yaw>1.20","span<5.5,yaw>0.50","span<5.5,yaw>0.60","span<5.5,yaw>0.78","span<5.5,yaw>0.90","span<5.5,yaw>1.00","span<5.5,yaw>1.20","span<6.0,yaw>0.50","span<6.0,yaw>0.60","span<6.0,yaw>0.78","span<6.0,yaw>0.90","span<6.0,yaw>1.00","span<6.0,yaw>1.20"
21003,4,21,D1,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21004,1,15,D1,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21004,2,26,C3,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21004,3,35,C3,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21004,4,22,D1,REPAIR,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21004,5,8,C3,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21005,1,15,D1,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21005,2,26,C3,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21005,3,35,D1,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21005,4,22,D1,REPAIR,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21005,5,8,C3,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
