pair,seed,prior_time_s,slam_time_s,delta_time_s,prior_distance_m,slam_distance_m,delta_distance_m,prior_planned_path_m,slam_planned_path_m,delta_planned_path_m,prior_ape_rmse_m,slam_ape_rmse_m,delta_ape_rmse_m,prior_rpe_trans_rmse_m,slam_rpe_trans_rmse_m,delta_rpe_trans_rmse_m,prior_rpe_rot_rmse_deg,slam_rpe_rot_rmse_deg,delta_rpe_rot_rmse_deg,planned_loops,executed_loops,successful_slam_loops,prior_path_mismatch_normalized_edit,slam_path_mismatch_normalized_edit,prior_path_lcs_recall,slam_path_lcs_recall,prior_planned_vertex_count,slam_planned_vertex_count,prior_actual_vertex_count,slam_actual_vertex_count,prior_no_frontier_at_vertex,slam_no_frontier_at_vertex,prior_repeated_visit_skip,slam_repeated_visit_skip,prior_goal_skip,slam_goal_skip,prior_local_replanning_calls,slam_local_replanning_calls
1,21001,808.5999999999999,1378.7,570.1000000000001,353.5282578812802,524.3575962009774,170.82933831969717,415.222222222222,503.6111111111108,88.3888888888888,0.54851,0.964536,0.4160259999999999,0.039053,0.040786,0.0017330000000000054,0.24551,0.433263,0.187753,4,4,0,0.19444444444444445,0.24444444444444444,0.8055555555555556,0.8604651162790697,36,43,31,45,26,26,5,8,5,5,143,191
2,21002,889.8,1170.6000000000001,280.8000000000002,384.71618720093636,453.58541800243836,68.869230801502,415.22222222222206,478.94444444444423,63.72222222222217,0.810047,0.542024,-0.268023,0.025163,0.037739,0.012576,0.127824,0.210454,0.08263000000000001,3,3,0,0.16666666666666666,0.0975609756097561,0.8333333333333334,0.9024390243902439,36,41,32,40,26,25,6,8,4,5,157,164
3,21003,850.6,1394.8999999999999,544.2999999999998,354.02443832563563,534.8822213567705,180.8577830311349,415.222222222222,503.6111111111108,88.3888888888888,0.168656,1.476925,1.3082690000000001,0.030865,0.039715,0.00885,0.171103,0.303805,0.132702,4,4,0,0.19444444444444445,0.11627906976744186,0.8055555555555556,0.8837209302325582,36,43,31,41,25,25,5,9,6,5,150,180
4,21004,833.5,1434.8,601.3,346.1112063586658,549.885220200819,203.77401384215324,415.222222222222,527.2499999999997,112.02777777777766,0.330795,0.23402,-0.096775,0.029875,0.048212,0.018337,0.159824,0.280434,0.12061000000000002,5,5,0,0.16666666666666666,0.16,0.8333333333333334,0.9555555555555556,36,45,31,50,24,28,4,7,8,5,148,183
5,21005,785.8000000000001,1379.1999999999998,593.3999999999997,348.7530895325614,536.9573069298431,188.2042173972817,415.222222222222,527.2499999999997,112.02777777777766,0.6472,0.269378,-0.377822,0.028621,0.044877,0.016256,0.163064,0.232635,0.06957100000000002,5,5,0,0.19444444444444445,0.1836734693877551,0.8611111111111112,0.9333333333333333,36,45,34,49,25,24,5,9,6,7,136,173
