map,seed,method,condition,loop_id,vertex,event_seq,attribution_class,current_scan,chain_start,chain_end,R_before_interval,R_after_interval,Delta_R_interval_observed,Delta_R_interval_causal_status,closure_edge,R_final_with_edge,R_final_without_edge,Delta_R_actual_marginal,marginal_status,pose_correction_common_nodes,pose_correction_mean_m,pose_correction_median_m,pose_correction_max_m,materially_corrected_nodes,material_threshold_status
map3,21002,Original,A,1,8,1,TEMPORALLY_ASSOCIATED,280,15,19,6836.749067146681,8165.489250797649,1328.740183650968,NON_CAUSAL_INTERVAL_WIDE_INCLUDES_NEW_ODOMETRY,"[15, 280]",7309.4619664334405,7302.993475211225,6.468491222215562,AVAILABLE_FINAL_GRAPH_EDGE_ABLATION,269,0.04949327417440638,0.05145963663861373,0.13995883827403538,,NOT_DEFINED_CONTINUOUS_VALUES_ONLY
map3,21003,Selective,C,4,21,1,TARGET_ATTRIBUTABLE,760,506,511,9442.500558337322,9367.756598161215,-74.74396017610707,NON_CAUSAL_INTERVAL_WIDE_INCLUDES_NEW_ODOMETRY,,,,,NOT_AVAILABLE_CLOSURE_EDGE_MISSING_FROM_SAVED_GRAPH,730,3.368568659130608e-05,3.418011670532567e-05,0.0001335158510313814,,NOT_DEFINED_CONTINUOUS_VALUES_ONLY
map3,21004,Always-Trace,B,1,15,1,TARGET_ATTRIBUTABLE,273,161,164,8279.307805258308,8120.868955046737,-158.43885021157075,NON_CAUSAL_INTERVAL_WIDE_INCLUDES_NEW_ODOMETRY,"[161, 273]",8041.647241418926,8038.018691879269,3.6285495396568876,AVAILABLE_FINAL_GRAPH_EDGE_ABLATION,256,0.01322165803726826,0.00021820566723853088,0.05214650346802893,,NOT_DEFINED_CONTINUOUS_VALUES_ONLY
map3,21004,Always-Trace,B,4,22,2,TARGET_ATTRIBUTABLE,937,548,551,6898.034698612599,6894.736256634926,-3.2984419776730647,NON_CAUSAL_INTERVAL_WIDE_INCLUDES_NEW_ODOMETRY,"[549, 937]",8041.647241418926,8038.642298258219,3.0049431607067163,AVAILABLE_FINAL_GRAPH_EDGE_ABLATION,916,0.1596308501378677,9.90532369241983e-06,0.8139623139543958,,NOT_DEFINED_CONTINUOUS_VALUES_ONLY
map3,21004,Selective,C,,,1,PASSIVE_OR_UNRELATED,482,349,352,,,,NOT_AVAILABLE,"[352, 482]",7509.092238264467,7496.600618448137,12.491619816330058,AVAILABLE_FINAL_GRAPH_EDGE_ABLATION,,,,,,NOT_DEFINED_CONTINUOUS_VALUES_ONLY
map3,21005,Selective,C,2,26,1,TEMPORALLY_ASSOCIATED,490,413,418,7636.3620504984265,7664.254062950995,27.89201245256845,NON_CAUSAL_INTERVAL_WIDE_INCLUDES_NEW_ODOMETRY,"[414, 490]",7549.078085364161,7526.333129373063,22.744955991098323,AVAILABLE_FINAL_GRAPH_EDGE_ABLATION,473,0.005856036506251078,0.0006467453996567589,0.07763820600456768,,NOT_DEFINED_CONTINUOUS_VALUES_ONLY
map3,21005,Selective,C,5,8,2,TARGET_ATTRIBUTABLE,728,15,18,7549.078085364174,7549.078085364174,0.0,NON_CAUSAL_INTERVAL_WIDE_INCLUDES_NEW_ODOMETRY,,,,,NOT_AVAILABLE_CLOSURE_EDGE_MISSING_FROM_SAVED_GRAPH,721,1.8672500244550627e-05,1.3671722917560876e-05,6.182240835647983e-05,,NOT_DEFINED_CONTINUOUS_VALUES_ONLY
