map,seed,method,condition,loop_id,vertex,event_seq,attribution_class,Delta_R_predicted,Delta_R_actual_marginal,eta_real,status
map3,21003,Selective,C,4,21,1,TARGET_ATTRIBUTABLE,,,,NOT_AVAILABLE_PREDICTED_GAIN_NOT_LOGGED
map3,21004,Always-Trace,B,1,15,1,TARGET_ATTRIBUTABLE,,3.6285495396568876,,NOT_AVAILABLE_PREDICTED_GAIN_NOT_LOGGED
map3,21004,Always-Trace,B,4,22,2,TARGET_ATTRIBUTABLE,,3.0049431607067163,,NOT_AVAILABLE_PREDICTED_GAIN_NOT_LOGGED
map3,21005,Selective,C,5,8,2,TARGET_ATTRIBUTABLE,,,,NOT_AVAILABLE_PREDICTED_GAIN_NOT_LOGGED
