wall_time_utc,stage,elapsed_wall_s,launch_alive,observer_alive,rss_kb,missing_core_nodes
2026-08-21T04:26:29.272942+00:00,mapping,0.0,1,1,1352940,
2026-08-21T04:26:42.471692+00:00,exploration,0.0,1,1,1359588,
2026-08-21T04:27:12.761037+00:00,exploration,30.3,1,1,1369312,
2026-08-21T04:27:43.065533+00:00,exploration,60.6,1,1,1374396,
2026-08-21T04:28:13.368239+00:00,exploration,90.9,1,1,1379292,
2026-08-21T04:28:42.701407+00:00,exploration,120.2,1,1,1385612,
2026-08-21T04:29:13.015304+00:00,exploration,150.5,1,1,1393192,
2026-08-21T04:29:43.350899+00:00,exploration,180.9,1,1,1400504,
2026-08-21T04:30:12.653897+00:00,exploration,210.2,1,1,1401664,
2026-08-21T04:30:42.961772+00:00,exploration,240.5,1,1,1405164,
2026-08-21T04:31:13.313032+00:00,exploration,270.8,1,1,1408516,
2026-08-21T04:31:42.629187+00:00,exploration,300.2,1,1,1410808,
2026-08-21T04:32:12.983601+00:00,exploration,330.5,1,1,1412908,
2026-08-21T04:32:43.279137+00:00,exploration,360.8,1,1,1418212,
2026-08-21T04:33:12.582016+00:00,exploration,390.1,1,1,1419204,
2026-08-21T04:33:42.891086+00:00,exploration,420.4,1,1,1430408,
2026-08-21T04:34:13.202572+00:00,exploration,450.7,1,1,1430732,
2026-08-21T04:34:42.505004+00:00,exploration,480.0,1,1,1432884,
2026-08-21T04:35:12.885742+00:00,exploration,510.4,1,1,1441140,
2026-08-21T04:35:43.188703+00:00,exploration,540.7,1,1,1443556,
2026-08-21T04:36:12.481048+00:00,exploration,570.0,1,1,1444380,
2026-08-21T04:36:42.775269+00:00,exploration,600.3,1,1,1443156,
2026-08-21T04:37:13.084094+00:00,exploration,630.6,1,1,1448864,
2026-08-21T04:37:43.436072+00:00,exploration,660.9,1,1,1452720,
2026-08-21T04:38:12.727656+00:00,exploration,690.3,1,1,1459036,
2026-08-21T04:38:43.096541+00:00,exploration,720.6,1,1,1460952,
2026-08-21T04:39:13.394218+00:00,exploration,750.9,1,1,1464708,
2026-08-21T04:39:42.693466+00:00,exploration,780.2,1,1,1468832,
2026-08-21T04:40:12.982773+00:00,exploration,810.5,1,1,1473860,
2026-08-21T04:40:43.312176+00:00,exploration,840.8,1,1,1476900,
2026-08-21T04:41:12.616854+00:00,exploration,870.2,1,1,1479464,
