map,seed,condition,method,loop_id,vertex,event_seq,current_scan,current_scan_time,chain_start,chain_end,active_start,active_end,baseline_anchor_scan,h_star_ids,h_star_size,matched_h_star_ids,attribution_class,evidence,run_dir
map3,21002,A,Original,1,8,1,280,515.0,15,19,500.1,533.1,0,"[0, 1, 2, 3, 4, 5, 6]",7,[],TEMPORALLY_ASSOCIATED,"{""current_scan_time_source"": ""rosout PHASE2C_KEYSCAN_ACCEPTED"", ""measurement_interval_matches"": 1, ""oracle_mode_used"": false, ""target_constructed_before_execution_policy_branch"": true, ""target_rule"": ""baseline anchor + exactly seven chronological scans""}",results/phase4b/map3/seed_21002/A_original
map3,21003,C,Selective,4,21,1,760,1413.4,506,511,1346.3,1414.9,505,"[505, 506, 507, 508, 509, 510, 511]",7,"[506, 507, 508, 509, 510, 511]",TARGET_ATTRIBUTABLE,"{""current_scan_time_source"": ""rosout PHASE2C_KEYSCAN_ACCEPTED"", ""measurement_interval_matches"": 1, ""oracle_mode_used"": false, ""target_constructed_before_execution_policy_branch"": true, ""target_rule"": ""baseline anchor + exactly seven chronological scans""}",results/phase4b/map3/seed_21003/C_selective
map3,21004,B,Always-Trace,1,15,1,273,477.1,161,164,451.0,551.1,171,"[171, 172, 173, 174, 175, 176, 177]",7,[],TEMPORALLY_ASSOCIATED,"{""current_scan_time_source"": ""rosout PHASE2C_KEYSCAN_ACCEPTED"", ""measurement_interval_matches"": 1, ""oracle_mode_used"": false, ""target_constructed_before_execution_policy_branch"": true, ""target_rule"": ""baseline anchor + exactly seven chronological scans""}",results/phase4b/map3/seed_21004/B_always_trace
map3,21004,B,Always-Trace,4,22,2,937,1565.4,548,551,1536.6,1665.7,554,"[554, 555, 556, 557, 558, 559, 560]",7,[],TEMPORALLY_ASSOCIATED,"{""current_scan_time_source"": ""rosout PHASE2C_KEYSCAN_ACCEPTED"", ""measurement_interval_matches"": 1, ""oracle_mode_used"": false, ""target_constructed_before_execution_policy_branch"": true, ""target_rule"": ""baseline anchor + exactly seven chronological scans""}",results/phase4b/map3/seed_21004/B_always_trace
map3,21004,C,Selective,,,1,482,866.5,349,352,,,,,,[],PASSIVE_OR_UNRELATED,"{""current_scan_time_source"": ""rosout PHASE2C_KEYSCAN_ACCEPTED"", ""measurement_interval_matches"": 0, ""oracle_mode_used"": false, ""target_constructed_before_execution_policy_branch"": true, ""target_rule"": ""baseline anchor + exactly seven chronological scans""}",results/phase4b/map3/seed_21004/C_selective
map3,21005,C,Selective,2,26,1,490,971.8,413,418,948.4,972.5,406,"[406, 407, 408, 409, 410, 411, 412]",7,[],TEMPORALLY_ASSOCIATED,"{""current_scan_time_source"": ""rosout PHASE2C_KEYSCAN_ACCEPTED"", ""measurement_interval_matches"": 1, ""oracle_mode_used"": false, ""target_constructed_before_execution_policy_branch"": true, ""target_rule"": ""baseline anchor + exactly seven chronological scans""}",results/phase4b/map3/seed_21005/C_selective
map3,21005,C,Selective,5,8,2,728,1475.5,15,18,1464.8,1476.5,0,"[0, 1, 2, 3, 4, 5, 6]",7,[],TEMPORALLY_ASSOCIATED,"{""current_scan_time_source"": ""rosout PHASE2C_KEYSCAN_ACCEPTED"", ""measurement_interval_matches"": 1, ""oracle_mode_used"": false, ""target_constructed_before_execution_policy_branch"": true, ""target_rule"": ""baseline anchor + exactly seven chronological scans""}",results/phase4b/map3/seed_21005/C_selective
