map,seed,condition,method,loop_id,loop_vertex,selection_order,selection_timestamp,planned_source,planned,executed,execution_finished,target_attributable,temporally_associated,execution_policy,active_loop_distance_m,active_loop_time_s,actual_generated_repair_length_m,actual_executed_repair_length_m,early_stopped,avoided_nominal_repair_path_length_lower_bound_m,run_dir
map3,21003,C,Selective,1,15,1,0.0,LOOP_INSERTED event,True,True,True,False,False,NO_REPAIR,15.829240108848735,49.89999999999998,,0.0,False,,results/phase4b/map3/seed_21003/C_selective
map3,21003,C,Selective,2,37,2,0.0,LOOP_INSERTED event,True,True,True,False,False,NO_REPAIR,33.66578634311746,136.20000000000005,,0.0,False,,results/phase4b/map3/seed_21003/C_selective
map3,21003,C,Selective,3,8,3,0.0,LOOP_INSERTED event,True,True,True,False,False,SELECTIVE_REPAIR,33.364683861739636,102.19999999999982,9.8,33.364683861739636,False,,results/phase4b/map3/seed_21003/C_selective
map3,21003,C,Selective,4,21,4,0.0,LOOP_INSERTED event,True,True,True,True,False,NO_REPAIR,28.309135250093174,68.60000000000014,,0.0,False,,results/phase4b/map3/seed_21003/C_selective
map3,21004,A,Original,1,15,1,0.0,LOOP_INSERTED event,True,True,True,False,False,ORIGINAL,20.672913628372964,61.89999999999998,,0.0,False,,results/phase4b/map3/seed_21004/A_original
map3,21004,A,Original,2,26,2,0.0,LOOP_INSERTED event,True,True,True,False,False,ORIGINAL,25.188076126300583,49.90000000000009,,0.0,False,,results/phase4b/map3/seed_21004/A_original
map3,21004,A,Original,3,35,3,0.0,LOOP_INSERTED event,True,True,True,False,False,ORIGINAL,28.435795906295684,66.69999999999982,,0.0,False,,results/phase4b/map3/seed_21004/A_original
map3,21004,A,Original,4,22,4,0.0,LOOP_INSERTED event,True,True,True,False,False,ORIGINAL,20.4019758610485,45.80000000000018,,0.0,False,,results/phase4b/map3/seed_21004/A_original
map3,21004,A,Original,5,8,5,0.0,LOOP_INSERTED event,True,True,True,False,False,ORIGINAL,11.383496644919548,39.0,,0.0,False,,results/phase4b/map3/seed_21004/A_original
map3,21004,B,Always-Trace,1,15,1,0.0,LOOP_INSERTED event,True,True,True,False,True,ALWAYS_TRACE,34.78439199612545,100.10000000000002,12.49,34.78439199612545,False,,results/phase4b/map3/seed_21004/B_always_trace
map3,21004,B,Always-Trace,2,26,2,0.0,LOOP_INSERTED event,True,True,True,False,False,ALWAYS_TRACE,58.19697770926874,174.5,15.39,58.19697770926874,False,,results/phase4b/map3/seed_21004/B_always_trace
map3,21004,B,Always-Trace,3,35,3,0.0,LOOP_INSERTED event,True,True,True,False,False,ALWAYS_TRACE,53.24855405697942,186.39999999999986,12.94,53.24855405697942,False,,results/phase4b/map3/seed_21004/B_always_trace
map3,21004,B,Always-Trace,4,22,4,0.0,LOOP_INSERTED event,True,True,True,False,True,ALWAYS_TRACE,38.467953014057535,129.10000000000014,12.77,38.467953014057535,False,,results/phase4b/map3/seed_21004/B_always_trace
map3,21004,B,Always-Trace,5,8,5,0.0,LOOP_INSERTED event,True,True,True,False,False,ALWAYS_TRACE,29.569602813142254,59.299999999999955,1.62,29.569602813142254,False,,results/phase4b/map3/seed_21004/B_always_trace
map3,21004,C,Selective,1,15,1,16.0,LOOP_INSERTED event,True,True,True,False,False,NO_REPAIR,16.95664295673767,45.0,,0.0,False,,results/phase4b/map3/seed_21004/C_selective
map3,21004,C,Selective,2,26,2,16.0,LOOP_INSERTED event,True,True,True,False,False,NO_REPAIR,25.050578923688885,76.10000000000002,,0.0,False,,results/phase4b/map3/seed_21004/C_selective
map3,21004,C,Selective,3,35,3,16.0,LOOP_INSERTED event,True,True,True,False,False,NO_REPAIR,21.520913847804906,60.0,,0.0,False,,results/phase4b/map3/seed_21004/C_selective
map3,21004,C,Selective,4,22,4,16.0,LOOP_INSERTED event,True,True,True,False,False,SELECTIVE_REPAIR,31.290137844066404,116.79999999999995,12.77,31.290137844066404,False,,results/phase4b/map3/seed_21004/C_selective
map3,21004,C,Selective,5,8,5,16.0,LOOP_INSERTED event,True,True,True,False,False,SELECTIVE_REPAIR,61.36219661342164,186.4000000000001,9.84,61.36219661342164,False,,results/phase4b/map3/seed_21004/C_selective
map3,21005,A,Original,1,15,1,0.0,LOOP_INSERTED event,True,True,True,False,False,ORIGINAL,16.723169014430876,52.0,,0.0,False,,results/phase4b/map3/seed_21005/A_original
map3,21005,A,Original,2,26,2,0.0,LOOP_INSERTED event,True,True,True,False,False,ORIGINAL,24.82886774462149,56.19999999999993,,0.0,False,,results/phase4b/map3/seed_21005/A_original
map3,21005,A,Original,3,35,3,0.0,LOOP_INSERTED event,True,True,True,False,False,ORIGINAL,19.013164230016024,66.90000000000009,,0.0,False,,results/phase4b/map3/seed_21005/A_original
map3,21005,A,Original,4,22,4,0.0,LOOP_INSERTED event,True,True,True,False,False,ORIGINAL,19.29255062919259,65.29999999999995,,0.0,False,,results/phase4b/map3/seed_21005/A_original
map3,21005,A,Original,5,8,5,0.0,LOOP_INSERTED event,True,True,True,False,False,ORIGINAL,36.28512698654732,80.09999999999991,,0.0,False,,results/phase4b/map3/seed_21005/A_original
map3,21005,B,Always-Trace,1,15,1,0.0,LOOP_INSERTED event,True,True,True,False,False,ALWAYS_TRACE,38.279939379694895,121.19999999999999,11.66,38.279939379694895,False,,results/phase4b/map3/seed_21005/B_always_trace
map3,21005,B,Always-Trace,2,26,2,0.0,LOOP_INSERTED event,True,True,True,False,False,ALWAYS_TRACE,50.84093993402386,168.30000000000007,14.78,50.84093993402386,False,,results/phase4b/map3/seed_21005/B_always_trace
map3,21005,B,Always-Trace,3,35,3,0.0,LOOP_INSERTED event,True,True,True,False,False,ALWAYS_TRACE,49.53660608931101,184.29999999999995,13.63,49.53660608931101,False,,results/phase4b/map3/seed_21005/B_always_trace
map3,21005,B,Always-Trace,4,22,4,0.0,LOOP_INSERTED event,True,True,True,False,False,ALWAYS_TRACE,68.91697181009663,491.29999999999995,12.34,68.91697181009663,False,,results/phase4b/map3/seed_21005/B_always_trace
map3,21005,B,Always-Trace,5,8,5,0.0,LOOP_INSERTED event,True,True,True,False,False,ALWAYS_TRACE,44.413534384332905,120.89999999999964,1.67,44.413534384332905,False,,results/phase4b/map3/seed_21005/B_always_trace
map3,21005,C,Selective,1,15,1,0.0,LOOP_INSERTED event,True,True,True,False,False,NO_REPAIR,17.03719407512928,49.89999999999998,,0.0,False,,results/phase4b/map3/seed_21005/C_selective
map3,21005,C,Selective,2,26,2,0.0,LOOP_INSERTED event,True,True,True,False,True,SELECTIVE_REPAIR,16.18499579038335,24.100000000000023,12.45,16.18499579038335,True,11.95953967237682,results/phase4b/map3/seed_21005/C_selective
map3,21005,C,Selective,3,35,3,0.0,LOOP_INSERTED event,True,True,True,False,False,NO_REPAIR,18.474077730666547,59.09999999999991,,0.0,False,,results/phase4b/map3/seed_21005/C_selective
map3,21005,C,Selective,4,22,4,0.0,LOOP_INSERTED event,True,True,True,False,False,SELECTIVE_REPAIR,30.71156177501979,91.0,12.56,30.71156177501979,False,,results/phase4b/map3/seed_21005/C_selective
map3,21005,C,Selective,5,8,5,0.0,LOOP_INSERTED event,True,True,True,False,True,SELECTIVE_REPAIR,6.812839525026501,11.700000000000045,9.97,6.812839525026501,True,9.571189627917285,results/phase4b/map3/seed_21005/C_selective
map8,21001,A,Original,1,20,1,0.0,LOOP_INSERTED event,True,True,True,False,True,ORIGINAL,19.63812180009681,40.10000000000002,,0.0,False,,results/phase4c/formal/map8/seed_21001/A_original/attempt_01
map8,21001,A,Original,2,38,2,0.0,LOOP_INSERTED event,True,True,True,True,False,ORIGINAL,18.99754170990611,40.200000000000045,,0.0,False,,results/phase4c/formal/map8/seed_21001/A_original/attempt_01
map8,21001,A,Original,3,35,3,0.0,LOOP_INSERTED event,True,True,True,False,False,ORIGINAL,27.066673209625954,67.79999999999995,,0.0,False,,results/phase4c/formal/map8/seed_21001/A_original/attempt_01
map8,21001,B,Always-Trace,1,20,1,0.0,LOOP_INSERTED event,True,True,True,False,True,ALWAYS_TRACE,17.462434822090387,50.0,3.56,17.462434822090387,False,,results/phase4c/formal/map8/seed_21001/B_always_trace/attempt_01
map8,21001,B,Always-Trace,2,38,2,0.0,LOOP_INSERTED event,True,True,True,False,True,ALWAYS_TRACE,46.49870359713343,130.79999999999995,12.05,46.49870359713343,False,,results/phase4c/formal/map8/seed_21001/B_always_trace/attempt_01
map8,21001,B,Always-Trace,3,35,3,0.0,LOOP_INSERTED event,True,True,True,True,False,ALWAYS_TRACE,26.157123895450233,100.5,11.8,26.157123895450233,False,,results/phase4c/formal/map8/seed_21001/B_always_trace/attempt_01
map8,21001,C,Selective,1,20,1,0.0,LOOP_INSERTED event,True,True,True,False,True,SELECTIVE_REPAIR,14.81165495129235,26.199999999999932,11.97,14.81165495129235,True,9.888110954470948,results/phase4c/formal/map8/seed_21001/C_selective/attempt_01
