map,seed,condition,method,loop_id,loop_vertex,local_boundary_f1,local_boundary_status,local_symmetric_boundary_distance_mean_m,local_distance_status,local_observed_coverage
map3,21004,C,Selective,4,22,0.0,NO_ESTIMATED_BOUNDARY,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0
map3,21004,C,Selective,5,8,0.8059701492537313,AVAILABLE,0.24006404740299553,AVAILABLE,0.9770884283691594
map3,21005,A,Original,1,15,0.0,NO_ESTIMATED_BOUNDARY,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0
map3,21005,A,Original,2,26,0.0,ESTIMATED_BOUNDARY_WITHOUT_GT,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21005,A,Original,3,35,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21005,A,Original,4,22,0.0,AVAILABLE,0.684213821697635,AVAILABLE,0.9666496294403271
map3,21005,A,Original,5,8,0.6837606837606837,AVAILABLE,0.17727272727272725,AVAILABLE,0.9648603423864075
map3,21005,B,Always-Trace,1,15,0.0,NO_ESTIMATED_BOUNDARY,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0
map3,21005,B,Always-Trace,2,26,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21005,B,Always-Trace,3,35,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21005,B,Always-Trace,4,22,0.45508982035928147,AVAILABLE,0.42180460248634716,AVAILABLE,0.9945054945054945
map3,21005,B,Always-Trace,5,8,0.025316455696202535,AVAILABLE,1.1031325166504937,AVAILABLE,0.9944651821341228
map3,21005,C,Selective,1,15,0.0,NO_ESTIMATED_BOUNDARY,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0
map3,21005,C,Selective,2,26,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21005,C,Selective,3,35,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21005,C,Selective,4,22,0.0,AVAILABLE,0.7021760034291044,AVAILABLE,0.9685663174035267
map3,21005,C,Selective,5,8,0.7493495229835212,AVAILABLE,0.5277854533900335,AVAILABLE,0.9750289612562749
map8,21001,A,Original,1,20,0.9753086419753086,AVAILABLE,0.1049895085667537,AVAILABLE,0.9160432252701579
map8,21001,A,Original,2,38,0.8950829325743449,AVAILABLE,0.1218605334983629,AVAILABLE,0.9322216691554671
map8,21001,A,Original,3,35,0.4984293193717277,AVAILABLE,0.2374235449286199,AVAILABLE,0.9958121202167843
map8,21001,B,Always-Trace,1,20,0.7973468430135919,AVAILABLE,0.10658571585196246,AVAILABLE,0.915544472152951
map8,21001,B,Always-Trace,2,38,0.8739946380697051,AVAILABLE,0.1567156254745291,AVAILABLE,0.9307283889165422
map8,21001,B,Always-Trace,3,35,0.653959190528172,AVAILABLE,0.17102712471444514,AVAILABLE,0.984972901954344
map8,21001,C,Selective,1,20,0.7392405063291139,AVAILABLE,0.15077264183194933,AVAILABLE,0.9192019950124688
map8,21001,C,Selective,2,38,0.7205264119904954,AVAILABLE,0.15656084914839175,AVAILABLE,0.9341297494607599
map8,21001,C,Selective,3,35,0.2015959680806384,AVAILABLE,0.2604465158867393,AVAILABLE,0.987682706519954
map8,21002,A,Original,1,20,0.6674365775346778,AVAILABLE,0.13247938430985576,AVAILABLE,0.9118038237738986
map8,21002,A,Original,2,38,0.9509594882729211,AVAILABLE,0.11049645761603615,AVAILABLE,0.9326364692218351
map8,21002,A,Original,3,35,0.5600773490375319,AVAILABLE,0.1966986413881089,AVAILABLE,0.9824273279684678
