map,condition,method,target_attributable_numerator,executed_loop_denominator,descriptive_pooled_rate,ci_note
map3,A,Original,0,21,0.0,descriptive only; does not account for within-seed dependence
map3,B,Always-Trace,0,21,0.0,descriptive only; does not account for within-seed dependence
map3,C,Selective,1,21,0.047619047619047616,descriptive only; does not account for within-seed dependence
map8,A,Original,5,15,0.3333333333333333,descriptive only; does not account for within-seed dependence
map8,B,Always-Trace,5,15,0.3333333333333333,descriptive only; does not account for within-seed dependence
map8,C,Selective,4,15,0.26666666666666666,descriptive only; does not account for within-seed dependence
radish_mexico,A,Original,0,0,,descriptive only; does not account for within-seed dependence
radish_mexico,B,Always-Trace,0,0,,descriptive only; does not account for within-seed dependence
radish_mexico,C,Selective,0,0,,descriptive only; does not account for within-seed dependence
