map,seed,condition,method,boundary_f1,symmetric_boundary_distance_mean_m,symmetric_boundary_distance_median_m,symmetric_boundary_distance_p95_m,occupied_iou,observed_coverage_global,detail
radish_mexico,21001,B,Always-Trace,0.1541670108165509,1.6058171483533012,1.2229242973818513,4.621575805904906,0.029666527044599763,0.6762241889523893,results/phase4c/aggregate/per_run/radish_mexico/21001/B/mapping_metrics_v2.json
radish_mexico,21001,C,Selective,0.15319005003153224,1.588626351564836,1.2431255805383254,4.60420676888959,0.029686717408738097,0.6783381267238033,results/phase4c/aggregate/per_run/radish_mexico/21001/C/mapping_metrics_v2.json
radish_mexico,21002,A,Original,0.1654051281580209,1.5165548829824904,1.1293126164151202,4.565993959926481,0.03033131674222135,0.7618304396981421,results/phase4c/aggregate/per_run/radish_mexico/21002/A/mapping_metrics_v2.json
radish_mexico,21002,B,Always-Trace,0.14984867511534905,1.6338324196434364,1.24725226161743,4.6233397645232355,0.026454486919887773,0.6702517661483771,results/phase4c/aggregate/per_run/radish_mexico/21002/B/mapping_metrics_v2.json
radish_mexico,21002,C,Selective,0.11507021458669056,2.874569607336443,1.7184658384730707,10.912660908312272,0.012863692563635348,0.4639755105063713,results/phase4c/aggregate/per_run/radish_mexico/21002/C/mapping_metrics_v2.json
radish_mexico,21003,A,Original,0.15767251245924918,1.5527524019124734,1.1790608452193634,4.445891889279216,0.02800882948456507,0.674349806412857,results/phase4c/aggregate/per_run/radish_mexico/21003/A/mapping_metrics_v2.json
radish_mexico,21003,B,Always-Trace,0.16196642999581515,1.4696752521629173,1.180073525436772,3.9987316389308805,0.029333850603497944,0.6875436308252724,results/phase4c/aggregate/per_run/radish_mexico/21003/B/mapping_metrics_v2.json
radish_mexico,21003,C,Selective,0.15846220123881805,1.5717274431747037,1.1650445487931647,4.637003971085221,0.030914373293238682,0.6933834753520982,results/phase4c/aggregate/per_run/radish_mexico/21003/C/mapping_metrics_v2.json
radish_mexico,21004,A,Original,0.15491153201606353,1.600908984669879,1.2326488456231224,4.600101399582938,0.030107458141305422,0.6804200628421033,results/phase4c/aggregate/per_run/radish_mexico/21004/A/mapping_metrics_v2.json
radish_mexico,21004,B,Always-Trace,0.15242712958139648,1.6212797898563671,1.2403882032022078,4.642334387576885,0.027559615233858956,0.6719880844130462,results/phase4c/aggregate/per_run/radish_mexico/21004/B/mapping_metrics_v2.json
radish_mexico,21004,C,Selective,0.14815566234274338,1.5351954102614562,1.1301494980224,4.554482802137621,0.023282584422473787,0.7874793075025133,results/phase4c/aggregate/per_run/radish_mexico/21004/C/mapping_metrics_v2.json
radish_mexico,21005,A,Original,0.16229767319662755,1.4674006889181603,1.1779628604101349,3.8811899611735825,0.03103720724573599,0.6955339864413568,results/phase4c/aggregate/per_run/radish_mexico/21005/A/mapping_metrics_v2.json
radish_mexico,21005,B,Always-Trace,0.1543601235839054,1.599953907243734,1.2040063920164363,4.568954762271341,0.029335659252798373,0.6740115032227951,results/phase4c/aggregate/per_run/radish_mexico/21005/B/mapping_metrics_v2.json
radish_mexico,21005,C,Selective,0.1562378110725637,1.5815717087466024,1.1802343178074637,4.514349064847483,0.03010023751523416,0.677818785610411,results/phase4c/aggregate/per_run/radish_mexico/21005/C/mapping_metrics_v2.json
