map,seed,condition,method,loop_id,loop_vertex,target_attributable,active_loop_distance_m,active_loop_time_s,local_boundary_f1,local_symmetric_boundary_distance_mean_m,local_observed_coverage
map3,21001,A,Original,3,8,False,13.239097907262243,31.100000000000136,0.041666666666666664,1.9620203174959068,0.9944651821341228
map3,21001,B,Always-Trace,3,8,False,15.3654119249546,41.200000000000045,0.23140495867768596,0.7570496895472126,0.9967820826361179
map3,21001,C,Selective,3,8,False,30.706277057401714,101.90000000000009,0.3571014492753623,0.43478984338895355,0.9921482816321276
map3,21001,A,Original,2,11,False,26.197814460598025,96.10000000000002,,,1.0
map3,21001,B,Always-Trace,2,11,False,46.70663747690476,172.0,,,1.0
map3,21001,C,Selective,2,11,False,26.99802034161808,97.29999999999995,,,1.0
map3,21001,A,Original,1,15,False,16.52612578488274,50.10000000000002,0.0,,1.0
map3,21001,B,Always-Trace,1,15,False,36.27732699563707,100.10000000000002,1.0,0.0,1.0
map3,21001,C,Selective,1,15,False,15.112147051265506,44.0,1.0,0.0,1.0
map3,21001,A,Original,4,26,False,10.808915031713127,47.600000000000136,0.0,,1.0
map3,21001,B,Always-Trace,4,26,False,47.33410115797466,137.10000000000014,,,1.0
map3,21001,C,Selective,4,26,False,28.386955975669746,83.70000000000005,,,1.0
map3,21002,A,Original,1,8,False,13.673120151144282,33.0,1.0,0.0,0.9648603423864075
map3,21002,B,Always-Trace,1,8,False,13.341922349442742,35.099999999999966,0.0,0.9296258583420758,0.9921482816321276
map3,21002,C,Selective,1,8,False,28.263384370567586,88.40000000000003,0.0,1.2043485667547118,0.9944651821341228
map3,21002,A,Original,3,16,False,28.126745828531078,68.09999999999991,,,1.0
map3,21002,B,Always-Trace,3,16,False,42.80448416734826,138.0,,,1.0
map3,21002,C,Selective,3,16,False,18.15539450281601,66.09999999999991,,,1.0
map3,21002,A,Original,2,38,False,16.199302501804862,65.90000000000009,,,1.0
map3,21002,B,Always-Trace,2,38,False,56.383629812140946,174.39999999999998,,,1.0
map3,21002,C,Selective,2,38,False,20.446260783375234,85.0,,,1.0
map3,21003,A,Original,3,8,False,18.45453794729327,48.899999999999864,0.3469557964970809,0.4243797889117217,0.9976830994980049
map3,21003,B,Always-Trace,3,8,False,21.23282615055648,55.799999999999955,0.03529411764705883,1.7397130794740758,0.9944651821341228
map3,21003,C,Selective,3,8,False,33.364683861739636,102.19999999999982,0.09708737864077671,0.3494875105533627,0.9857124469043635
map3,21003,A,Original,1,15,False,16.567595101870946,50.0,1.0,0.021428571428571432,0.9997444742557813
map3,21003,B,Always-Trace,1,15,False,29.967324890382997,86.09999999999997,0.0,,1.0
map3,21003,C,Selective,1,15,False,15.829240108848735,49.89999999999998,0.0,,1.0
map3,21003,A,Original,4,21,False,24.05043651846124,97.0,,,1.0
map3,21003,B,Always-Trace,4,21,False,30.713976765803157,122.20000000000005,,,1.0
map3,21003,C,Selective,4,21,True,28.309135250093174,68.60000000000014,,,1.0
map3,21003,A,Original,2,37,False,38.26511360696746,115.10000000000002,,,1.0
map3,21003,B,Always-Trace,2,37,False,61.32563396791261,223.19999999999993,,,1.0
map3,21003,C,Selective,2,37,False,33.66578634311746,136.20000000000005,,,1.0
map3,21004,A,Original,5,8,False,11.383496644919548,39.0,0.5134493670886076,0.846705591387859,0.9670485261938473
map3,21004,B,Always-Trace,5,8,False,29.569602813142254,59.299999999999955,0.620459599703484,0.27384886716489787,0.9720684772815034
map3,21004,C,Selective,5,8,False,61.36219661342164,186.4000000000001,0.8059701492537313,0.24006404740299553,0.9770884283691594
map3,21004,A,Original,1,15,False,20.672913628372964,61.89999999999998,0.0,0.9,1.0
map3,21004,B,Always-Trace,1,15,False,34.78439199612545,100.10000000000002,1.0,0.0071428571428571435,0.9998722371278906
map3,21004,C,Selective,1,15,False,16.95664295673767,45.0,0.0,,1.0
map3,21004,A,Original,4,22,False,20.4019758610485,45.80000000000018,0.0,1.27768248591384,0.9335548172757475
map3,21004,B,Always-Trace,4,22,False,38.467953014057535,129.10000000000014,0.0,,1.0
map3,21004,C,Selective,4,22,False,31.290137844066404,116.79999999999995,0.0,,1.0
map3,21004,A,Original,2,26,False,25.188076126300583,49.90000000000009,0.0,,1.0
