map,seed,condition,method,loop_id,vertex,event_seq,current_scan,current_scan_time,chain_start,chain_end,active_start,active_end,baseline_anchor_scan,h_star_ids,matched_h_star_ids,attribution_class,run_dir
radish_mexico,21004,B,Always-Trace,,,8,1748,2343.0,37,40,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21004/B_always_trace/attempt_02
radish_mexico,21004,B,Always-Trace,,,9,1952,2668.2,1676,1679,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21004/B_always_trace/attempt_02
radish_mexico,21004,C,Selective,,,1,273,359.6,56,65,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21004/C_selective/attempt_01
radish_mexico,21004,C,Selective,,,2,306,403.3,211,216,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21004/C_selective/attempt_01
radish_mexico,21004,C,Selective,,,3,459,654.4,290,296,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21004/C_selective/attempt_01
radish_mexico,21004,C,Selective,,,4,542,767.0,47,56,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21004/C_selective/attempt_01
radish_mexico,21004,C,Selective,,,5,782,1215.3,208,213,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21004/C_selective/attempt_01
radish_mexico,21004,C,Selective,,,6,990,1549.3,765,772,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21004/C_selective/attempt_01
radish_mexico,21004,C,Selective,,,7,1373,2081.3,208,214,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21004/C_selective/attempt_01
radish_mexico,21004,C,Selective,,,8,1535,2322.8,1511,1529,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21004/C_selective/attempt_01
radish_mexico,21004,C,Selective,,,9,1818,2790.5,1264,1267,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21004/C_selective/attempt_01
radish_mexico,21004,C,Selective,,,10,2906,3871.5,2888,2892,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21004/C_selective/attempt_01
radish_mexico,21004,C,Selective,,,11,3187,4192.7,2394,2398,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21004/C_selective/attempt_01
radish_mexico,21004,C,Selective,,,12,3240,4264.3,2828,2832,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21004/C_selective/attempt_01
radish_mexico,21004,C,Selective,,,13,3302,4362.5,2993,3002,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21004/C_selective/attempt_01
radish_mexico,21004,C,Selective,,,14,3655,4743.4,3174,3185,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21004/C_selective/attempt_01
radish_mexico,21004,C,Selective,,,15,3874,4970.0,3312,3318,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21004/C_selective/attempt_01
radish_mexico,21004,C,Selective,,,16,4241,5317.8,3325,3333,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21004/C_selective/attempt_01
radish_mexico,21004,C,Selective,,,17,5061,6029.1,4479,4485,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21004/C_selective/attempt_01
radish_mexico,21005,A,Original,,,1,271,376.7,59,64,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/A_original/attempt_01
radish_mexico,21005,A,Original,,,2,773,965.4,331,336,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/A_original/attempt_01
radish_mexico,21005,A,Original,,,3,828,1063.7,375,379,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/A_original/attempt_01
radish_mexico,21005,A,Original,,,4,829,1065.0,190,196,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/A_original/attempt_01
radish_mexico,21005,A,Original,,,5,1016,1313.0,393,399,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/A_original/attempt_01
radish_mexico,21005,A,Original,,,6,1046,1367.1,252,261,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/A_original/attempt_01
radish_mexico,21005,A,Original,,,7,1063,1390.8,363,372,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/A_original/attempt_01
radish_mexico,21005,A,Original,,,8,1530,2044.3,983,987,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/A_original/attempt_01
radish_mexico,21005,A,Original,,,9,1608,2159.6,1261,1270,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/A_original/attempt_01
radish_mexico,21005,A,Original,,,10,1853,2638.9,1605,1613,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/A_original/attempt_01
radish_mexico,21005,A,Original,,,11,1898,2723.7,631,641,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/A_original/attempt_01
radish_mexico,21005,A,Original,,,12,2050,2997.7,1879,1884,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/A_original/attempt_01
radish_mexico,21005,A,Original,,,13,2121,3145.1,1742,1747,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/A_original/attempt_01
radish_mexico,21005,A,Original,,,14,2192,3267.8,1563,1569,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/A_original/attempt_01
radish_mexico,21005,B,Always-Trace,,,1,247,343.0,47,51,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/B_always_trace/attempt_01
radish_mexico,21005,B,Always-Trace,,,2,335,476.4,190,195,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/B_always_trace/attempt_01
radish_mexico,21005,B,Always-Trace,,,3,494,670.8,188,191,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/B_always_trace/attempt_01
radish_mexico,21005,B,Always-Trace,,,4,766,1051.6,662,668,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/B_always_trace/attempt_01
radish_mexico,21005,B,Always-Trace,,,5,797,1143.1,469,473,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/B_always_trace/attempt_01
radish_mexico,21005,B,Always-Trace,,,6,826,1214.8,719,725,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/B_always_trace/attempt_01
radish_mexico,21005,B,Always-Trace,,,7,893,1333.1,760,767,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/B_always_trace/attempt_01
radish_mexico,21005,B,Always-Trace,,,8,1022,1740.5,774,782,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/B_always_trace/attempt_01
radish_mexico,21005,B,Always-Trace,,,9,1074,1810.6,274,284,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/B_always_trace/attempt_01
radish_mexico,21005,B,Always-Trace,,,10,1431,2140.7,936,942,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/B_always_trace/attempt_01
radish_mexico,21005,B,Always-Trace,,,11,1449,2182.8,914,924,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/B_always_trace/attempt_01
radish_mexico,21005,B,Always-Trace,,,12,1520,2352.4,854,857,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/B_always_trace/attempt_01
radish_mexico,21005,B,Always-Trace,,,13,1563,2445.0,991,995,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/B_always_trace/attempt_01
radish_mexico,21005,B,Always-Trace,,,14,1577,2456.9,879,883,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/B_always_trace/attempt_01
radish_mexico,21005,C,Selective,,,1,539,722.2,274,277,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/C_selective/attempt_01
radish_mexico,21005,C,Selective,,,2,1036,1320.3,54,58,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/C_selective/attempt_01
radish_mexico,21005,C,Selective,,,3,1089,1419.1,794,797,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/C_selective/attempt_01
radish_mexico,21005,C,Selective,,,4,1234,1649.3,973,976,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/C_selective/attempt_01
radish_mexico,21005,C,Selective,,,5,1276,1690.3,1007,1014,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/radish_mexico/seed_21005/C_selective/attempt_01
