map,seed,contrast,metric,left_value,right_value,difference
map3,21002,C-B,local_boundary_f1_mean,0.0,0.0,0.0
map3,21002,C-B,local_symmetric_boundary_distance_mean_m,1.2043485667547118,0.9296258583420758,0.274722708412636
map3,21002,C-B,local_observed_coverage_mean,0.9981550607113743,0.9973827605440425,0.0007723001673317631
map3,21003,C-A,target_realization_rate,0.25,0.0,0.25
map3,21003,C-A,active_loop_distance_m,111.16884556379901,97.33768317459291,13.8311623892061
map3,21003,C-A,active_loop_time_s,356.9,310.9999999999999,45.90000000000009
map3,21003,C-A,ape_rmse_m,0.506671,0.622606,-0.11593500000000001
map3,21003,C-A,rpe_translation_rmse_m,0.043322,0.052417,-0.009094999999999999
map3,21003,C-A,rpe_rotation_rmse_deg,0.263487,0.337893,-0.07440599999999997
map3,21003,C-A,boundary_f1,0.48550994461069896,0.4622214850226168,0.023288459588082178
map3,21003,C-A,symmetric_boundary_distance_mean_m,0.4392681235502786,0.4445643063876865,-0.005296182837407903
map3,21003,C-A,local_boundary_f1_mean,0.048543689320388356,0.6734778982485404,-0.6249342089281521
map3,21003,C-A,local_symmetric_boundary_distance_mean_m,0.3494875105533627,0.22290418017014654,0.12658333038321615
map3,21003,C-A,local_observed_coverage_mean,0.9964281117260909,0.9993568934384466,-0.002928781712355666
map3,21003,B-A,target_realization_rate,0.0,0.0,0.0
map3,21003,B-A,active_loop_distance_m,143.23976177465525,97.33768317459291,45.90207860006234
map3,21003,B-A,active_loop_time_s,487.2999999999999,310.9999999999999,176.3
map3,21003,B-A,ape_rmse_m,1.043301,0.622606,0.42069500000000004
map3,21003,B-A,rpe_translation_rmse_m,0.079285,0.052417,0.026867999999999996
map3,21003,B-A,rpe_rotation_rmse_deg,0.502674,0.337893,0.16478099999999996
map3,21003,B-A,boundary_f1,0.5234996555466301,0.4622214850226168,0.06127817052401335
map3,21003,B-A,symmetric_boundary_distance_mean_m,0.5283644826327049,0.4445643063876865,0.08380017624501834
map3,21003,B-A,local_boundary_f1_mean,0.017647058823529415,0.6734778982485404,-0.655830839425011
map3,21003,B-A,local_symmetric_boundary_distance_mean_m,1.7397130794740758,0.22290418017014654,1.5168088993039293
map3,21003,B-A,local_observed_coverage_mean,0.9986162955335307,0.9993568934384466,-0.000740597904915874
map3,21003,C-B,target_realization_rate,0.25,0.0,0.25
map3,21003,C-B,active_loop_distance_m,111.16884556379901,143.23976177465525,-32.07091621085624
map3,21003,C-B,active_loop_time_s,356.9,487.2999999999999,-130.39999999999992
map3,21003,C-B,ape_rmse_m,0.506671,1.043301,-0.53663
map3,21003,C-B,rpe_translation_rmse_m,0.043322,0.079285,-0.035962999999999995
map3,21003,C-B,rpe_rotation_rmse_deg,0.263487,0.502674,-0.23918699999999993
map3,21003,C-B,boundary_f1,0.48550994461069896,0.5234996555466301,-0.037989710935931176
map3,21003,C-B,symmetric_boundary_distance_mean_m,0.4392681235502786,0.5283644826327049,-0.08909635908242625
map3,21003,C-B,local_boundary_f1_mean,0.048543689320388356,0.017647058823529415,0.03089663049685894
map3,21003,C-B,local_symmetric_boundary_distance_mean_m,0.3494875105533627,1.7397130794740758,-1.3902255689207133
map3,21003,C-B,local_observed_coverage_mean,0.9964281117260909,0.9986162955335307,-0.002188183807439792
map3,21004,C-A,target_realization_rate,0.0,0.0,0.0
map3,21004,C-A,active_loop_distance_m,156.1804701857195,106.08225816693728,50.098212018782235
map3,21004,C-A,active_loop_time_s,484.30000000000007,263.30000000000007,221.0
map3,21004,C-A,ape_rmse_m,0.493636,1.823823,-1.330187
map3,21004,C-A,rpe_translation_rmse_m,0.041905,0.032476,0.009429
map3,21004,C-A,rpe_rotation_rmse_deg,0.257093,0.140586,0.11650700000000003
map3,21004,C-A,boundary_f1,0.5455183656132634,0.3242843198320291,0.2212340457812343
map3,21004,C-A,symmetric_boundary_distance_mean_m,0.4178422105916319,0.8525366573718709,-0.434694446780239
map3,21004,C-A,local_boundary_f1_mean,0.26865671641791045,0.1283623417721519,0.14029437464575856
map3,21004,C-A,local_symmetric_boundary_distance_mean_m,0.24006404740299553,1.0081293591005664,-0.7680653116975709
map3,21004,C-A,local_observed_coverage_mean,0.9954176856738318,0.9801206686939189,0.015297016979912925
map3,21004,B-A,target_realization_rate,0.0,0.0,0.0
map3,21004,B-A,active_loop_distance_m,214.26747958957338,106.08225816693728,108.1852214226361
map3,21004,B-A,active_loop_time_s,649.4,263.30000000000007,386.0999999999999
map3,21004,B-A,ape_rmse_m,0.603357,1.823823,-1.220466
map3,21004,B-A,rpe_translation_rmse_m,0.074388,0.032476,0.041912
map3,21004,B-A,rpe_rotation_rmse_deg,0.2876,0.140586,0.14701400000000003
map3,21004,B-A,boundary_f1,0.5265400200548099,0.3242843198320291,0.20225570022278083
map3,21004,B-A,symmetric_boundary_distance_mean_m,0.45334169375708416,0.8525366573718709,-0.39919496361478674
map3,21004,B-A,local_boundary_f1_mean,0.5401531999011614,0.1283623417721519,0.4117908581290095
map3,21004,B-A,local_symmetric_boundary_distance_mean_m,0.1404958621538775,1.0081293591005664,-0.867633496946689
map3,21004,B-A,local_observed_coverage_mean,0.9943881428818788,0.9801206686939189,0.014267474187959928
map3,21004,C-B,target_realization_rate,0.0,0.0,0.0
map3,21004,C-B,active_loop_distance_m,156.1804701857195,214.26747958957338,-58.08700940385387
map3,21004,C-B,active_loop_time_s,484.30000000000007,649.4,-165.0999999999999
map3,21004,C-B,ape_rmse_m,0.493636,0.603357,-0.10972100000000001
map3,21004,C-B,rpe_translation_rmse_m,0.041905,0.074388,-0.032483
map3,21004,C-B,rpe_rotation_rmse_deg,0.257093,0.2876,-0.030507000000000006
map3,21004,C-B,boundary_f1,0.5455183656132634,0.5265400200548099,0.018978345558453458
map3,21004,C-B,symmetric_boundary_distance_mean_m,0.4178422105916319,0.45334169375708416,-0.03549948316545226
map3,21004,C-B,local_boundary_f1_mean,0.26865671641791045,0.5401531999011614,-0.27149648348325095
map3,21004,C-B,local_symmetric_boundary_distance_mean_m,0.24006404740299553,0.1404958621538775,0.09956818524911804
map3,21004,C-B,local_observed_coverage_mean,0.9954176856738318,0.9943881428818788,0.0010295427919529976
map3,21005,C-A,target_realization_rate,0.0,0.0,0.0
map3,21005,C-A,active_loop_distance_m,89.22066889622546,116.1428786048083,-26.92220970858284
map3,21005,C-A,active_loop_time_s,235.79999999999995,320.4999999999999,-84.69999999999993
map3,21005,C-A,ape_rmse_m,0.842854,0.801703,0.04115099999999994
map3,21005,C-A,rpe_translation_rmse_m,0.035097,0.034755,0.000342000000000002
map3,21005,C-A,rpe_rotation_rmse_deg,0.210086,0.180242,0.02984399999999998
map3,21005,C-A,boundary_f1,0.3651249199189656,0.3158841371973536,0.04924078272161203
map3,21005,C-A,symmetric_boundary_distance_mean_m,0.585727790290711,0.6023020541700921,-0.0165742638793811
map3,21005,C-A,local_boundary_f1_mean,0.2497831743278404,0.17094017094017092,0.07884300338766947
map3,21005,C-A,local_symmetric_boundary_distance_mean_m,0.614980728409569,0.4307432744851811,0.18423745392438784
map3,21005,C-A,local_observed_coverage_mean,0.9887190557319603,0.9863019943653469,0.002417061366613349
map3,21005,B-A,target_realization_rate,0.0,0.0,0.0
map3,21005,B-A,active_loop_distance_m,251.98799159745928,116.1428786048083,135.84511299265097
map3,21005,B-A,active_loop_time_s,1085.9999999999995,320.4999999999999,765.4999999999997
map3,21005,B-A,ape_rmse_m,0.905463,0.801703,0.10375999999999996
map3,21005,B-A,rpe_translation_rmse_m,0.067362,0.034755,0.032607000000000004
map3,21005,B-A,rpe_rotation_rmse_deg,1.328437,0.180242,1.148195
map3,21005,B-A,boundary_f1,0.5841958433903082,0.3158841371973536,0.2683117061929546
map3,21005,B-A,symmetric_boundary_distance_mean_m,0.44784819836779094,0.6023020541700921,-0.15445385580230114
map3,21005,B-A,local_boundary_f1_mean,0.160135425351828,0.17094017094017092,-0.010804745588342907
