wall_time_utc,stage,elapsed_wall_s,launch_alive,observer_alive,rss_kb,missing_core_nodes
2026-09-01T05:09:10.775308+00:00,mapping,0.0,1,1,1504252,
2026-09-01T05:09:24.000587+00:00,exploration,0.0,1,1,1511348,
2026-09-01T05:09:54.300084+00:00,exploration,30.3,1,1,1528248,
2026-09-01T05:10:24.597299+00:00,exploration,60.6,1,1,1535036,
2026-09-01T05:10:54.914517+00:00,exploration,90.9,1,1,1543132,
2026-09-01T05:11:24.206884+00:00,exploration,120.2,1,1,1549380,
2026-09-01T05:11:54.491313+00:00,exploration,150.5,1,1,1553016,
2026-09-01T05:12:24.816812+00:00,exploration,180.8,1,1,1555452,
2026-09-01T05:12:54.166235+00:00,exploration,210.1,1,1,1559164,
2026-09-01T05:13:24.500535+00:00,exploration,240.5,1,1,1568160,
2026-09-01T05:13:54.793674+00:00,exploration,270.8,1,1,1567496,
2026-09-01T05:14:24.083900+00:00,exploration,300.1,1,1,1577776,
2026-09-01T05:14:54.389242+00:00,exploration,330.4,1,1,1584752,
2026-09-01T05:15:24.676602+00:00,exploration,360.7,1,1,1589164,
2026-09-01T05:15:54.963303+00:00,exploration,391.0,1,1,1593952,
2026-09-01T05:16:24.272414+00:00,exploration,420.3,1,1,1598552,
2026-09-01T05:16:54.577070+00:00,exploration,450.6,1,1,1602092,
2026-09-01T05:17:24.875314+00:00,exploration,480.9,1,1,1605572,
2026-09-01T05:17:54.182829+00:00,exploration,510.2,1,1,1609204,
2026-09-01T05:18:24.529558+00:00,exploration,540.5,1,1,1613212,
2026-09-01T05:18:54.862849+00:00,exploration,570.9,1,1,1614936,
2026-09-01T05:19:24.164460+00:00,exploration,600.2,1,1,1618216,
2026-09-01T05:19:54.501876+00:00,exploration,630.5,1,1,1622348,
2026-09-01T05:20:24.846384+00:00,exploration,660.8,1,1,1626168,
2026-09-01T05:20:54.186034+00:00,exploration,690.2,1,1,1627884,
2026-09-01T05:21:24.490044+00:00,exploration,720.5,1,1,1634540,
2026-09-01T05:21:54.794674+00:00,exploration,750.8,1,1,1638576,
2026-09-01T05:22:24.105802+00:00,exploration,780.1,1,1,1642464,
2026-09-01T05:22:54.414192+00:00,exploration,810.4,1,1,1645780,
2026-09-01T05:23:24.714012+00:00,exploration,840.7,1,1,1649944,
2026-09-01T05:23:54.038581+00:00,exploration,870.0,1,1,1653880,
2026-09-01T05:24:24.348146+00:00,exploration,900.4,1,1,1656892,
2026-09-01T05:24:54.659206+00:00,exploration,930.7,1,1,1660156,
2026-09-01T05:25:24.983389+00:00,exploration,961.0,1,1,1662664,
2026-09-01T05:25:54.266663+00:00,exploration,990.3,1,1,1670156,
2026-09-01T05:26:24.612063+00:00,exploration,1020.6,1,1,1669208,
2026-09-01T05:26:54.917132+00:00,exploration,1050.9,1,1,1674964,
2026-09-01T05:27:24.215020+00:00,exploration,1080.2,1,1,1670860,
2026-09-01T05:27:54.508722+00:00,exploration,1110.5,1,1,1679928,
2026-09-01T05:28:24.793930+00:00,exploration,1140.8,1,1,1687420,
2026-09-01T05:28:54.098799+00:00,exploration,1170.1,1,1,1691768,
2026-09-01T05:29:24.410211+00:00,exploration,1200.4,1,1,1694852,
2026-09-01T05:29:54.702809+00:00,exploration,1230.7,1,1,1698844,
2026-09-01T05:30:24.003994+00:00,exploration,1260.0,1,1,1701608,
2026-09-01T05:30:54.301590+00:00,exploration,1290.3,1,1,1703916,
2026-09-01T05:31:24.601885+00:00,exploration,1320.6,1,1,1707800,
2026-09-01T05:31:54.926816+00:00,exploration,1350.9,1,1,1711056,
2026-09-01T05:32:24.273530+00:00,exploration,1380.2,1,1,1716136,
