timestamp,x,y,yaw,exploration_active,loop_id
0.100000000,-28.0,-28.0,0.0,0,
0.200000000,-28.0,-28.0,0.0,0,
0.300000000,-28.0,-28.0,0.0,0,
0.400000000,-28.0,-28.0,0.0,0,
0.500000000,-28.0,-28.0,0.0,0,
0.600000000,-28.0,-28.0,0.0,0,
0.700000000,-27.98,-28.0,-2.3652108225094563e-17,0,
0.800000000,-27.96,-28.0,-4.7304216450189126e-17,0,
0.900000000,-27.938333333333333,-28.0,-7.292733369404157e-17,0,
1.000000000,-27.918333333333333,-28.0,-9.657944191913614e-17,0,
1.100000000,-27.898333333333333,-28.0,-1.202315501442307e-16,0,
1.200000000,-27.88,-28.0,-1.419126493505674e-16,0,
1.300000000,-27.861666666666665,-28.0,-1.6359374855690408e-16,0,
1.400000000,-27.841666666666665,-28.0,-1.8724585678199864e-16,0,
1.500000000,-27.821666666666665,-28.0,-2.108979650070932e-16,0,
1.600000000,-27.801666666666666,-28.0,-2.345500732321878e-16,0,
1.700000000,-27.781666666666666,-28.0,-2.5820218145728236e-16,0,
1.800000000,-27.761666666666667,-28.0,-2.8185428968237694e-16,0,
1.900000000,-27.741666666666667,-28.0,-3.055063979074715e-16,0,
2.000000000,-27.721666666666668,-28.0,-3.291585061325661e-16,0,
2.100000000,-27.7,-28.0,-3.5478162337641857e-16,0,
2.200000000,-27.68,-28.0,-3.7843373160151315e-16,0,
2.300000000,-27.65833333333333,-28.0,-4.0405684884536557e-16,0,
2.400000000,-27.636666666666663,-28.0,-4.2967996608921804e-16,0,
2.500000000,-27.614999999999995,-28.0,-4.553030833330705e-16,0,
2.600000000,-27.59166666666666,-28.0,-4.828972095956808e-16,0,
2.700000000,-27.568333333333328,-28.0,-5.104913358582911e-16,0,
2.800000000,-27.54666666666666,-28.0,-5.361144531021436e-16,0,
2.900000000,-27.52499999999999,-28.0,-5.61737570345996e-16,0,
3.000000000,-27.503333333333323,-28.0,-5.873606875898485e-16,0,
3.100000000,-27.483333333333324,-28.0,-6.11012795814943e-16,0,
3.200000000,-27.463333333333324,-28.0,-6.346649040400376e-16,0,
3.300000000,-27.443333333333324,-28.0,-6.583170122651321e-16,0,
3.400000000,-27.423333333333325,-28.0,-6.819691204902266e-16,0,
3.500000000,-27.403333333333325,-28.0,-7.056212287153212e-16,0,
3.600000000,-27.383333333333326,-28.0,-7.292733369404157e-16,0,
3.700000000,-27.361666666666657,-28.0,-7.548964541842682e-16,0,
3.800000000,-27.341666666666658,-28.0,-7.785485624093627e-16,0,
3.900000000,-27.32166666666666,-28.0,-8.022006706344572e-16,0,
4.000000000,-27.30166666666666,-28.0,-8.258527788595518e-16,0,
4.100000000,-27.28166666666666,-28.0,-8.495048870846463e-16,0,
4.200000000,-27.263333333333325,-28.0,-8.71185986290983e-16,0,
4.300000000,-27.243333333333325,-28.0,-8.948380945160775e-16,0,
4.400000000,-27.223333333333326,-28.0,-9.184902027411722e-16,0,
4.500000000,-27.20499999999999,-28.0,-9.401713019475089e-16,0,
4.600000000,-27.18499999999999,-28.0,-9.638234101726035e-16,0,
4.700000000,-27.164999999999992,-28.0,-9.874755183976981e-16,0,
4.800000000,-27.164999999999992,-28.0,-0.10000000000000099,0,
4.900000000,-27.164999999999992,-28.0,-0.20000000000000104,0,
5.000000000,-27.164999999999992,-28.0,-0.30000000000000104,0,
5.100000000,-27.164999999999992,-28.0,-0.40000000000000097,0,
5.200000000,-27.164999999999992,-28.0,-0.5000000000000011,0,
5.300000000,-27.164999999999992,-28.0,-0.600000000000001,0,
5.400000000,-27.164999999999992,-28.0,-0.7000000000000011,0,
5.500000000,-27.164999999999992,-28.0,-0.8000000000000012,0,
5.600000000,-27.164999999999992,-28.0,-0.900000000000001,0,
5.700000000,-27.164999999999992,-28.0,-1.000000000000001,0,
5.800000000,-27.164999999999992,-28.0,-1.1000000000000012,0,
5.900000000,-27.164999999999992,-28.0,-1.200000000000001,0,
6.000000000,-27.164999999999992,-28.0,-1.3000000000000012,0,
6.100000000,-27.164999999999992,-28.0,-1.4000000000000012,0,
6.200000000,-27.164999999999992,-28.0,-1.5000000000000016,0,
6.300000000,-27.164999999999992,-28.0,-1.6000000000000014,0,
6.400000000,-27.164999999999992,-28.0,-1.7000000000000017,0,
6.500000000,-27.164999999999992,-28.0,-1.8000000000000016,0,
6.600000000,-27.164999999999992,-28.0,-1.9000000000000028,0,
6.700000000,-27.164999999999992,-28.0,-2.0000000000000018,0,
6.800000000,-27.164999999999992,-28.0,-2.100000000000002,0,
6.900000000,-27.164999999999992,-28.0,-2.200000000000002,0,
7.000000000,-27.164999999999992,-28.0,-2.300000000000002,0,
7.100000000,-27.164999999999992,-28.0,-2.400000000000002,0,
7.200000000,-27.164999999999992,-28.0,-2.500000000000002,0,
7.300000000,-27.164999999999992,-28.0,-2.6000000000000023,0,
7.400000000,-27.164999999999992,-28.0,-2.7000000000000024,0,
7.500000000,-27.164999999999992,-28.0,-2.8000000000000025,0,
7.600000000,-27.164999999999992,-28.0,-2.9000000000000026,0,
7.700000000,-27.164999999999992,-28.0,-3.0000000000000027,0,
7.800000000,-27.164999999999992,-28.0,-3.1000000000000028,0,
7.900000000,-27.164999999999992,-28.0,3.0831853071795834,0,
8.000000000,-27.164999999999992,-28.0,2.9831853071795833,0,
8.100000000,-27.164999999999992,-28.0,2.883185307179583,0,
8.200000000,-27.164999999999992,-28.0,2.783185307179583,0,
8.300000000,-27.164999999999992,-28.0,2.683185307179583,0,
8.400000000,-27.164999999999992,-28.0,2.583185307179583,0,
8.500000000,-27.164999999999992,-28.0,2.483185307179583,0,
8.600000000,-27.164999999999992,-28.0,2.3831853071795828,0,
8.700000000,-27.164999999999992,-28.0,2.2831853071795827,0,
8.800000000,-27.164999999999992,-28.0,2.1831853071795826,0,
8.900000000,-27.164999999999992,-28.0,2.0831853071795825,0,
9.000000000,-27.164999999999992,-28.0,1.9831853071795822,0,
9.100000000,-27.164999999999992,-28.0,1.8831853071795823,0,
9.200000000,-27.164999999999992,-28.0,1.7831853071795831,0,
9.300000000,-27.164999999999992,-28.0,1.683185307179582,0,
9.400000000,-27.164999999999992,-28.0,1.5831853071795823,0,
9.500000000,-27.164999999999992,-28.0,1.483185307179582,0,
9.600000000,-27.164999999999992,-28.0,1.3831853071795819,0,
9.700000000,-27.164999999999992,-28.0,1.2831853071795822,0,
9.800000000,-27.164999999999992,-28.0,1.1831853071795817,0,
9.900000000,-27.164999999999992,-28.0,1.0831853071795816,0,
10.000000000,-27.164999999999992,-28.0,0.9831853071795814,0,
10.100000000,-27.164999999999992,-28.0,0.8831853071795818,0,
10.200000000,-27.164999999999992,-28.0,0.7831853071795818,0,
10.300000000,-27.164999999999992,-28.0,0.6831853071795817,0,
10.400000000,-27.164999999999992,-28.0,0.5831853071795817,0,
10.500000000,-27.164999999999992,-28.0,0.48318530717958175,0,
10.600000000,-27.164999999999992,-28.0,0.3831853071795819,0,
10.700000000,-27.164999999999992,-28.0,0.28318530717958185,0,
10.800000000,-27.164999999999992,-28.0,0.18318530717958173,0,
10.900000000,-27.164999999999992,-28.0,0.08318530717958178,0,
11.000000000,-27.164999999999992,-28.0,-0.01681469282041822,0,
11.100000000,-27.164999999999992,-28.0,-0.11681469282041824,0,
11.200000000,-27.164999999999992,-28.0,-0.21681469282041824,0,
11.300000000,-27.164999999999992,-28.0,-0.31681469282041835,0,
11.400000000,-27.164999999999992,-28.0,-0.4168146928204183,0,
11.500000000,-27.164999999999992,-28.0,-0.5168146928204183,0,
11.600000000,-27.164999999999992,-28.0,-0.6168146928204183,0,
11.700000000,-27.164999999999992,-28.0,-0.6168146928204183,0,
11.800000000,-27.164999999999992,-28.0,-0.6168146928204183,0,
11.900000000,-27.164999999999992,-28.0,-0.6168146928204183,0,
12.000000000,-27.164999999999992,-28.0,-0.6168146928204183,0,
12.100000000,-27.164999999999992,-28.0,-0.6168146928204183,0,
12.200000000,-27.164999999999992,-28.0,-0.6168146928204183,0,
12.300000000,-27.164999999999992,-28.0,-0.6168146928204183,0,
12.400000000,-27.164999999999992,-28.0,-0.6168146928204183,0,
12.500000000,-27.164999999999992,-28.0,-0.6168146928204183,0,
12.600000000,-27.164999999999992,-28.0,-0.6168146928204183,0,
12.700000000,-27.164999999999992,-28.0,-0.6168146928204183,0,
12.800000000,-27.164999999999992,-28.0,-0.6168146928204183,0,
12.900000000,-27.164999999999992,-28.0,-0.6168146928204183,0,
13.000000000,-27.164999999999992,-28.0,-0.6168146928204183,0,
13.100000000,-27.164999999999992,-28.0,-0.6168146928204183,0,
13.200000000,-27.164999999999992,-28.0,-0.6168146928204183,0,
13.300000000,-27.164999999999992,-28.0,-0.6168146928204183,0,
13.400000000,-27.164999999999992,-28.0,-0.6168146928204183,0,
13.500000000,-27.164999999999992,-28.0,-0.6168146928204183,0,
13.600000000,-27.164999999999992,-28.0,-0.6168146928204183,0,
13.700000000,-27.164999999999992,-28.0,-0.6168146928204183,1,
13.800000000,-27.164999999999992,-28.0,-0.6168146928204183,1,
13.900000000,-27.164999999999992,-28.0,-0.6168146928204183,1,
14.000000000,-27.164999999999992,-28.0,-0.6168146928204183,1,
14.100000000,-27.118775577659555,-28.032778253315332,-0.5756439496289412,1,
14.200000000,-27.071241201839356,-28.063626174258165,-0.5344732064374643,1,
14.300000000,-27.050137624619577,-28.076118261541662,-0.4589969340531782,1,
14.400000000,-27.028152167655243,-28.08698347659886,-0.3835206616688921,1,
14.500000000,-27.028152167655243,-28.08698347659886,-0.28352066166889217,1,
14.600000000,-27.028152167655243,-28.08698347659886,-0.18352066166889214,1,
14.700000000,-27.028152167655243,-28.08698347659886,-0.08352066166889209,1,
14.800000000,-27.028152167655243,-28.08698347659886,0.0164793383311079,1,
14.900000000,-27.028152167655243,-28.08698347659886,0.11647933833110792,1,
15.000000000,-27.028152167655243,-28.08698347659886,0.2164793383311079,1,
15.100000000,-27.028152167655243,-28.08698347659886,0.3164793383311079,1,
15.200000000,-27.028152167655243,-28.08698347659886,0.4164793383311081,1,
15.300000000,-27.028152167655243,-28.08698347659886,0.516479338331108,1,
15.400000000,-27.028152167655243,-28.08698347659886,0.616479338331108,1,
15.500000000,-27.028152167655243,-28.08698347659886,0.7164793383311079,1,
15.600000000,-27.028152167655243,-28.08698347659886,0.8164793383311083,1,
15.700000000,-27.028152167655243,-28.08698347659886,0.9164793383311082,1,
15.800000000,-27.028152167655243,-28.08698347659886,1.0164793383311077,1,
15.900000000,-27.02654840641375,-28.084392840309846,1.1134324634564754,1,
16.000000000,-27.02520295384705,-28.081659124177467,1.210385588581842,1,
16.100000000,-27.024128447182402,-28.07880800476059,1.307338713707209,1,
16.200000000,-27.02333497877479,-28.075866261334014,1.404291838832576,1,
16.300000000,-27.022830001313995,-28.07286152436287,1.501244963957943,1,
16.400000000,-27.022618257824846,-28.06982201598215,1.5981980890833098,1,
16.500000000,-27.022701737118137,-28.066776284918966,1.6951512142086769,1,
16.600000000,-27.02307965511064,-28.063752938347264,1.7921043393340441,1,
16.700000000,-27.02889036891255,-28.037926768277742,1.865632553309156,1,
16.800000000,-27.036582623813047,-28.01259724657098,1.939160767284268,1,
16.900000000,-27.056289054110575,-27.961542035844214,1.9844343756854619,1,
17.000000000,-27.078285955793486,-27.91143101655925,2.029707984086657,1,
17.100000000,-27.103232610275608,-27.86094132348888,2.0733915151260573,1,
17.200000000,-27.130360332983273,-27.811589207658997,2.1170750461654575,1,
17.300000000,-27.15961736564707,-27.763468830313222,2.1607585772048576,1,
17.400000000,-27.190947887386088,-27.716672002602884,2.204442108244258,1,
17.500000000,-27.224292121211217,-27.671288010416152,2.248125639283658,1,
17.600000000,-27.259586448076508,-27.627403444025266,2.291809170323058,1,
17.700000000,-27.296763528260964,-27.585102032876833,2.3354927013624582,1,
17.800000000,-27.335752429849187,-27.54446448584045,2.3791762324018584,1,
17.900000000,-27.389990117733692,-27.49266416525319,2.3878126350941646,1,
18.000000000,-27.44467314577217,-27.441334189171535,2.396449037786471,1,
18.100000000,-27.499797435322275,-27.390478386143794,2.4023681081619315,1,
18.200000000,-27.555221776544,-27.339949756634,2.408287178537392,1,
18.300000000,-27.61094422762937,-27.28975007092743,2.4142062489128526,1,
18.400000000,-27.66696283632606,-27.239881087784724,2.420125319288313,1,
18.500000000,-27.723275640005763,-27.19034455438026,2.426044389663774,1,
18.600000000,-27.779880665732968,-27.141142206240943,2.4319634600392344,1,
18.700000000,-27.83677593033408,-27.092275767185395,2.437882530414695,1,
18.800000000,-27.8939594404669,-27.04374694926357,2.4438016007901555,1,
18.900000000,-27.951429192690465,-26.99555745269677,2.437882530414695,1,
19.000000000,-28.008612702823285,-26.947028634774945,2.4319634600392344,1,
19.100000000,-28.0655079674244,-26.898162195719397,2.426044389663774,1,
19.200000000,-28.122112993151603,-26.84895984758008,2.420125319288313,1,
19.300000000,-28.178425796831306,-26.799423314175616,2.4142062489128526,1,
19.400000000,-28.234444405527995,-26.74955433103291,2.408287178537392,1,
19.500000000,-28.290166856613368,-26.69935464532634,2.4023681081619315,1,
19.600000000,-28.34559119783509,-26.648826015816546,2.396449037786471,1,
19.700000000,-28.400715487385195,-26.597970212788805,2.3839900997010393,1,
19.800000000,-28.45520190574359,-26.546431584416737,2.3715311616156076,1,
19.900000000,-28.509041995357855,-26.49421813068757,2.359072223530176,1,
20.000000000,-28.562227399000747,-26.441337956337037,2.3466132854447443,1,
20.100000000,-28.614749861067423,-26.387799269591333,2.3341543473593127,1,
20.200000000,-28.66660122885691,-26.33361038089301,2.321695409273881,1,
20.300000000,-28.717773453837584,-26.278779701610997,2.3092364711884494,1,
20.400000000,-28.768258592896505,-26.22331574273497,2.296777533103018,1,
20.500000000,-28.81804880957235,-26.16722711355425,2.284318595017586,1,
20.600000000,-28.867136375271826,-26.11052252032143,2.2718596569321545,1,
20.700000000,-28.915513670469327,-26.053210764900978,2.259400718846723,1,
20.800000000,-28.963173185889655,-25.99530074340297,2.2469417807612913,1,
20.900000000,-29.010107523673636,-25.936801444802224,2.2344828426758596,1,
21.000000000,-29.05630939852644,-25.87772194954299,2.222023904590428,1,
21.100000000,-29.101771638848426,-25.81807142812946,2.210807880154408,1,
21.200000000,-29.146561991965164,-25.757914763763175,2.199591855718388,1,
21.300000000,-29.19067482334495,-25.697259524025306,2.188375831282368,1,
21.400000000,-29.234104583686875,-25.636113339216745,2.177159806846348,1,
21.500000000,-29.27684580961893,-25.57448390139824,2.165943782410328,1,
21.600000000,-29.318893124385273,-25.512378963422744,2.154727757974308,1,
21.700000000,-29.360241238522622,-25.44980633796013,2.14478531151256,1,
21.800000000,-29.400965194270977,-25.386825710556096,2.1348428650508118,1,
21.900000000,-29.44106096600919,-25.323443306935555,2.1249004185890636,1,
22.000000000,-29.48052459021299,-25.259665392539574,2.1149579721273155,1,
22.100000000,-29.5193521658468,-25.195498271906022,2.1050155256655674,1,
22.200000000,-29.557539854749347,-25.130948288046362,2.0950730792038192,1,
22.300000000,-29.59508388201308,-25.066021821818634,2.0851306327420716,1,
22.400000000,-29.631980536357307,-25.000725291296696,2.075188186280323,1,
22.500000000,-29.668226170495092,-24.935065151135788,2.066551783588016,1,
22.600000000,-29.703903392544603,-24.869094431670028,2.0579153808957105,1,
22.700000000,-29.739009541449313,-24.80281805345667,2.0492789782034038,1,
22.800000000,-29.77354199874732,-24.736240959851123,2.0406425755110984,1,
22.900000000,-29.807498188766647,-24.669368116638267,2.0269697019250774,1,
23.000000000,-29.840536889380676,-24.60203725995475,2.0132968283390578,1,
23.100000000,-29.872651924184062,-24.53426097693792,1.9996239547530374,1,
23.200000000,-29.903837289445768,-24.466051937995168,1.9859510811670165,1,
23.300000000,-29.934087155231417,-24.39742289443524,1.9722782075809977,1,
23.400000000,-29.963395866493173,-24.32838667608447,1.958605333994977,1,
23.500000000,-29.99175794412691,-24.2589561888883,1.9449324604089562,1,
23.600000000,-30.019168085996515,-24.189144412498578,1.9312595868229363,1,
23.700000000,-30.045621167925084,-24.118964397847108,1.9328062159615065,1,
23.800000000,-30.07218276062729,-24.04882538022409,1.934352845100076,1,
23.900000000,-30.098852800566174,-23.978727527406345,1.9373997198058233,1,
24.000000000,-30.125736295754447,-23.90871126010751,1.9404465945115708,1,
24.100000000,-30.152832996620834,-23.838777228319277,1.9434934692173182,1,
24.200000000,-30.180142651614783,-23.768926081269917,1.9465403439230655,1,
24.300000000,-30.207665007208803,-23.699158467418243,1.9495872186288135,1,
24.400000000,-30.2353998079008,-23.629475034447594,1.952634093334561,1,
24.500000000,-30.263346796216467,-23.559876429259816,1.9556809680403082,1,
24.600000000,-30.291505712711658,-23.490363297969267,1.9587278427460568,1,
24.700000000,-30.31987629597481,-23.420936285896815,1.960274471884626,1,
24.800000000,-30.348354223102945,-23.351553235614453,1.9618211010231954,1,
24.900000000,-30.376939425975113,-23.282214313090687,1.9633677301617656,1,
25.000000000,-30.40563183621376,-23.212919684188464,1.964914359300336,1,
25.100000000,-30.43443138518489,-23.143669514664776,1.9664609884389066,1,
25.200000000,-30.463338003998214,-23.074463970170267,1.9680076175774759,1,
25.300000000,-30.49235162350733,-23.00530321624884,1.9695542467160463,1,
25.400000000,-30.52147217430988,-22.936187418337248,1.9711008758546154,1,
25.500000000,-30.550699586747733,-22.86711674176471,1.9726475049931853,1,
25.600000000,-30.580033790907123,-22.798091351752518,1.9741941341317557,1,
25.700000000,-30.609474716618838,-22.729111413413627,1.9642516876700071,1,
25.800000000,-30.63822836914716,-22.659842174452304,1.954309241208258,1,
25.900000000,-30.666291906152495,-22.590290482231694,1.9430932167722386,1,
26.000000000,-30.693573600867264,-22.520428410021587,1.9318771923362188,1,
26.100000000,-30.72007002131196,-22.450264746322933,1.9206611679001986,1,
26.200000000,-30.74577783429293,-22.379808317576256,1.9094451434641784,1,
26.300000000,-30.770693805821658,-22.309067987051304,1.8982291190281586,1,
26.400000000,-30.794814801521614,-22.238052653732062,1.8870130945921393,1,
26.500000000,-30.818137787022547,-22.166771251197297,1.8757970701561177,1,
26.600000000,-30.840659828342197,-22.09523274649671,1.8645810457200978,1,
26.700000000,-30.862378092255394,-22.023446139022916,1.8533650212840789,1,
26.800000000,-30.883289846650467,-21.95142045937933,1.842148996848059,1,
26.900000000,-30.89711275621215,-21.90173618086583,1.7937203101933454,1,
27.000000000,-30.908514255317044,-21.851440990456418,1.7452916235386344,1,
27.100000000,-30.9125986935358,-21.82827189222984,1.6688179863726054,1,
27.200000000,-30.91490109552008,-21.804858462466168,1.592344349206577,1,
27.300000000,-30.91538615282563,-21.782351421195038,1.5148566166927702,1,
27.400000000,-30.91412747979912,-21.759874367794243,1.437368884178964,1,
27.500000000,-30.91113263017155,-21.737562194814497,1.359881151665157,1,
27.600000000,-30.906419577068583,-21.715548805302237,1.2823934191513506,1,
27.700000000,-30.895849855102526,-21.679921445704768,1.2195556011961002,1,
27.800000000,-30.883063721515054,-21.645028143163874,1.1567177832408502,1,
27.900000000,-30.867776138171244,-21.610243225006755,1.0947138453485405,1,
28.000000000,-30.85036251167773,-21.576472433662225,1.0327099074562314,1,
28.100000000,-30.830889767072907,-21.543845558953684,0.9707059695639221,1,
28.200000000,-30.809432743114854,-21.512487994339146,0.9087020316716127,1,
28.300000000,-30.786073904656753,-21.48252025499198,0.8466980937793029,1,
28.400000000,-30.760903025713297,-21.45405751463014,0.7846941558869939,1,
28.500000000,-30.73401684443609,-21.42720916287401,0.722690217994684,1,
28.600000000,-30.705518691324098,-21.402078384833988,0.6606862801023746,1,
28.700000000,-30.662933097159595,-21.36898064163592,0.6146213654842406,1,
28.800000000,-30.618868572256268,-21.337879016594883,0.5685564508661067,1,
28.900000000,-30.568009095635563,-21.30538317716211,0.5289109531221331,1,
