wall_time_utc,stage,elapsed_wall_s,launch_alive,driver_alive,rss_kb,missing_core_nodes
2026-08-22T04:15:02.236555+00:00,mapping,0.0,1,1,1355116,
2026-08-22T04:15:15.468360+00:00,history_exploration,0.0,1,1,1362192,
2026-08-22T04:15:45.801870+00:00,history_exploration,30.3,1,1,1363124,
2026-08-22T04:16:16.098006+00:00,history_exploration,60.7,1,1,1367180,
2026-08-22T04:16:46.396984+00:00,history_exploration,91.0,1,1,1368452,
2026-08-22T04:17:15.692532+00:00,history_exploration,120.3,1,1,1369952,
2026-08-22T04:17:45.986186+00:00,history_exploration,150.6,1,1,1371092,
2026-08-22T04:18:16.281892+00:00,history_exploration,180.8,1,1,1371312,
2026-08-22T04:18:45.575812+00:00,history_exploration,210.1,1,1,1373244,
2026-08-22T04:19:15.869747+00:00,history_exploration,240.4,1,1,1372332,
2026-08-22T04:19:46.173611+00:00,history_exploration,270.7,1,1,1373860,
2026-08-22T04:20:15.503161+00:00,history_exploration,300.0,1,1,1374592,
2026-08-22T04:20:45.861636+00:00,history_exploration,330.4,1,1,1373828,
2026-08-22T04:21:16.205935+00:00,history_exploration,360.7,1,1,1375684,
2026-08-22T04:21:45.500232+00:00,history_exploration,390.1,1,1,1375996,
2026-08-22T04:22:15.797732+00:00,history_exploration,420.4,1,1,1377672,
2026-08-22T04:22:46.092686+00:00,history_exploration,450.7,1,1,1377880,
2026-08-22T04:23:16.392413+00:00,history_exploration,481.0,1,1,1378908,
2026-08-22T04:23:45.679785+00:00,history_exploration,510.2,1,1,1381216,
2026-08-22T04:24:15.975604+00:00,history_exploration,540.5,1,1,1381512,
2026-08-22T04:24:46.273806+00:00,history_exploration,570.8,1,1,1382048,
2026-08-22T04:25:15.566860+00:00,history_exploration,600.1,1,1,1383816,
2026-08-22T04:25:45.896234+00:00,history_exploration,630.4,1,1,1383456,
2026-08-22T04:26:16.191410+00:00,history_exploration,660.8,1,1,1384324,
2026-08-22T04:26:45.484009+00:00,history_exploration,690.0,1,1,1384984,
2026-08-22T04:27:15.815195+00:00,history_exploration,720.3,1,1,1387908,
2026-08-22T04:27:46.122489+00:00,history_exploration,750.7,1,1,1388120,
2026-08-22T04:28:16.488961+00:00,history_exploration,781.0,1,1,1389472,
2026-08-22T04:28:45.815159+00:00,history_exploration,810.3,1,1,1389732,
2026-08-22T04:29:16.107567+00:00,history_exploration,840.7,1,1,1390864,
2026-08-22T04:29:46.440953+00:00,history_exploration,871.0,1,1,1391412,
2026-08-22T04:30:15.747601+00:00,history_exploration,900.3,1,1,1392140,
2026-08-22T04:30:46.037621+00:00,history_exploration,930.6,1,1,1393056,
2026-08-22T04:31:16.337423+00:00,history_exploration,960.9,1,1,1394412,
2026-08-22T04:31:45.647730+00:00,history_exploration,990.2,1,1,1395348,
2026-08-22T04:32:15.985869+00:00,history_exploration,1020.5,1,1,1396540,
2026-08-22T04:32:46.328935+00:00,history_exploration,1050.8,1,1,1397420,
2026-08-22T04:33:15.624270+00:00,history_exploration,1080.2,1,1,1398396,
2026-08-22T04:33:45.919491+00:00,history_exploration,1110.5,1,1,1398916,
2026-08-22T04:34:16.220771+00:00,history_exploration,1140.8,1,1,1399532,
2026-08-22T04:34:45.515855+00:00,history_exploration,1170.1,1,1,1400236,
2026-08-22T04:35:15.810036+00:00,history_exploration,1200.4,1,1,1401640,
2026-08-22T04:35:46.145513+00:00,history_exploration,1230.7,1,1,1402444,
2026-08-22T04:36:15.439882+00:00,history_exploration,1260.0,1,1,1402980,
2026-08-22T04:36:45.726485+00:00,history_exploration,1290.3,1,1,1407444,
2026-08-22T04:37:16.020681+00:00,history_exploration,1320.6,1,1,1405752,
2026-08-22T04:37:46.353421+00:00,history_exploration,1350.9,1,1,1405952,
2026-08-22T04:38:15.654151+00:00,history_exploration,1380.2,1,1,1406868,
2026-08-22T04:38:45.957594+00:00,history_exploration,1410.5,1,1,1410496,
2026-08-22T04:39:16.255152+00:00,history_exploration,1440.8,1,1,1407820,
2026-08-22T04:39:45.557515+00:00,history_exploration,1470.1,1,1,1408484,
2026-08-22T04:40:15.855708+00:00,history_exploration,1500.4,1,1,1410140,
2026-08-22T04:40:46.140927+00:00,history_exploration,1530.7,1,1,1416064,
2026-08-22T04:41:16.439987+00:00,history_exploration,1561.0,1,1,1416420,
2026-08-22T04:41:45.734847+00:00,history_exploration,1590.3,1,1,1417260,
2026-08-22T04:42:16.039811+00:00,history_exploration,1620.6,1,1,1416208,
2026-08-22T04:42:46.376545+00:00,history_exploration,1650.9,1,1,1417592,
2026-08-22T04:43:15.680114+00:00,history_exploration,1680.2,1,1,1417980,
2026-08-22T04:43:45.981954+00:00,history_exploration,1710.5,1,1,1418368,
2026-08-22T04:44:16.281310+00:00,history_exploration,1740.8,1,1,1419952,
2026-08-22T04:44:45.576025+00:00,history_exploration,1770.1,1,1,1425148,
2026-08-22T04:45:15.904389+00:00,history_exploration,1800.4,1,1,1425792,
2026-08-22T04:45:46.195438+00:00,history_exploration,1830.8,1,1,1422392,
2026-08-22T04:46:15.530353+00:00,history_exploration,1860.1,1,1,1423868,
2026-08-22T04:46:45.829909+00:00,history_exploration,1890.4,1,1,1424644,
2026-08-22T04:47:16.125297+00:00,history_exploration,1920.7,1,1,1424664,
2026-08-22T04:47:46.429966+00:00,history_exploration,1951.0,1,1,1425292,
2026-08-22T04:48:15.733855+00:00,history_exploration,1980.3,1,1,1427600,
2026-08-22T04:48:46.028715+00:00,history_exploration,2010.6,1,1,1428216,
2026-08-22T04:49:16.314371+00:00,history_exploration,2040.9,1,1,1433056,
